Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
gpt-5.4-2026-03-05_high,0.768595041322314,0.768595041322314,2026-03-05,OpenAI,United States of America,,,0.019189407003691976,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fi9HTMbAxcwsrTf2w2FuJ6N.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/i9HTMbAxcwsrTf2w2FuJ6N.eval,2026-03-06T11:07:43.396Z,i9HTMbAxcwsrTf2w2FuJ6N
gpt-5.3-codex_high,0.7479338842975206,0.7479338842975206,2026-02-05,OpenAI,United States of America,,,0.019756739501473306,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F6w5buMbgeEqtRoE55cLZVv.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/6w5buMbgeEqtRoE55cLZVv.eval,2026-02-25T10:37:06.792Z,6w5buMbgeEqtRoE55cLZVv
gemini-3.1-pro-preview-customtools,0.756198347107438,0.756198347107438,2026-02-19,Google DeepMind,United States of America,,,0.019537213360116365,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F8QQQWDgmmEsmQVUJWcxx4P.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/8QQQWDgmmEsmQVUJWcxx4P.eval,2026-02-24T13:34:48.126Z,8QQQWDgmmEsmQVUJWcxx4P
claude-sonnet-4-6,0.7520661157024794,0.7520661157024794,2026-02-17,Anthropic,United States of America,,,0.01964818270139032,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FKEdgiMmtJKHxgGiS82agYj.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/KEdgiMmtJKHxgGiS82agYj.eval,2026-02-21T10:32:51.288Z,KEdgiMmtJKHxgGiS82agYj
gemini-3-flash-preview,0.7541322314049587,0.7541322314049587,2025-12-17,Google DeepMind,United States of America,,,0.019593002139508684,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FjxoyMNmTnYirjLJN6wRNmG.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/jxoyMNmTnYirjLJN6wRNmG.eval,2026-02-18T20:12:36.725Z,jxoyMNmTnYirjLJN6wRNmG
claude-opus-4-6,0.7871900826446281,0.7871900826446281,2026-02-05,Anthropic,United States of America,,,0.01862353730305288,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F2hH2GAPUFaJR7pfVKhhicg.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/2hH2GAPUFaJR7pfVKhhicg.eval,2026-02-18T20:07:57.705Z,2hH2GAPUFaJR7pfVKhhicg
gpt-5.1-2025-11-13_high,0.6797520661157025,0.6797520661157025,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.02122974956319103,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FYoHtZpMNdsRE6qdj2K4Ucj.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/YoHtZpMNdsRE6qdj2K4Ucj.eval,2026-02-18T12:36:35.180Z,YoHtZpMNdsRE6qdj2K4Ucj
kimi-k2.5,0.737603305785124,0.737603305785124,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",0.020017832064928274,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F5wVjUb3yn6bdjPSfPEMuiZ.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/5wVjUb3yn6bdjPSfPEMuiZ.eval,2026-02-17T14:43:08.990Z,5wVjUb3yn6bdjPSfPEMuiZ
gpt-5.1-2025-11-13_high,0.6590909090909091,0.6590909090909091,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.021568422716496703,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FG5hTYKeE5buuWzwRQK7EgS.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/G5hTYKeE5buuWzwRQK7EgS.eval,2026-02-17T01:48:11.460Z,G5hTYKeE5buuWzwRQK7EgS
glm-5,0.7207792207792207,0.7207792207792207,2026-02-11,Z.ai (Zhipu AI),China,6.84e+24,6 * 40B parameters * 28.5e12 tokens = 6.84e24 FLOP estimated,0.020894141602415234,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FhKkJEu4ueLiNWsTtrJ78PS.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/hKkJEu4ueLiNWsTtrJ78PS.eval,2026-02-15T15:40:10.848Z,hKkJEu4ueLiNWsTtrJ78PS
gemini-2.5-pro,0.5755693581780539,0.5755693581780539,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.02251275673889269,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FKL724uHFGbiXj4o5PHyLn2.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/KL724uHFGbiXj4o5PHyLn2.eval,2026-02-13T18:40:15.413Z,KL724uHFGbiXj4o5PHyLn2
gemini-3-pro-preview,0.7293388429752066,0.7293388429752066,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.02021641171153417,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F5XdYZBG5Wy8DUMRqcYv4fn.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/5XdYZBG5Wy8DUMRqcYv4fn.eval,2026-02-13T10:43:27.233Z,5XdYZBG5Wy8DUMRqcYv4fn
gpt-5.2-2025-12-11_high,0.737603305785124,0.737603305785124,2025-12-11,OpenAI,United States of America,,,0.020017832064928277,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F9owdbpnWJ5pkQQC3GWKP5L.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/9owdbpnWJ5pkQQC3GWKP5L.eval,2026-02-12T13:34:00.865Z,9owdbpnWJ5pkQQC3GWKP5L
o3-2025-04-16_medium,0.6231884057971014,0.6231884057971014,2025-04-16,OpenAI,United States of America,,,0.022072335658124498,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FAKt7PcE8LQtoMWVuxwMidk.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/AKt7PcE8LQtoMWVuxwMidk.eval,2026-02-12T03:46:13.664Z,AKt7PcE8LQtoMWVuxwMidk
claude-opus-4-1-20250805,0.7334710743801653,0.7334710743801653,2025-08-05,Anthropic,United States of America,,,0.020118245554677085,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FcA6Mq67yaynLhY8F5kes3c.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/cA6Mq67yaynLhY8F5kes3c.eval,2026-02-11T21:33:53.502Z,cA6Mq67yaynLhY8F5kes3c
gpt-4o-2024-11-20,0.30991735537190085,0.30991735537190085,2024-11-20,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,0.021042625979133336,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPncXWJm7ZCY3qv982pKoRy.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/PncXWJm7ZCY3qv982pKoRy.eval,2026-02-11T15:05:15.089Z,PncXWJm7ZCY3qv982pKoRy
claude-opus-4-6,0.756198347107438,0.756198347107438,2026-02-05,Anthropic,United States of America,,,0.019537213360116365,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FaQiAg6mt8HPHXjKcJvax2d.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/aQiAg6mt8HPHXjKcJvax2d.eval,2026-02-10T22:23:09.876Z,aQiAg6mt8HPHXjKcJvax2d
gpt-4.1-2025-04-14,0.48541666666666666,0.48541666666666666,2025-04-14,OpenAI,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.022835863746433965,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FSheUt9cNpkSevy4r6Gsr3u.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/SheUt9cNpkSevy4r6Gsr3u.eval,2026-02-08T17:41:23.879Z,SheUt9cNpkSevy4r6Gsr3u
gpt-5-2025-08-07_high,0.7355371900826446,0.7355371900826446,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.02006832181710289,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FC85Bnci9xVzq5jmt8zNnbw.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/C85Bnci9xVzq5jmt8zNnbw.eval,2026-02-06T14:23:51.990Z,C85Bnci9xVzq5jmt8zNnbw
claude-opus-4-20250514,0.7066115702479339,0.7066115702479339,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.02071754535128056,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FRbcvuVChvxK6SMQbPK8iRn.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/RbcvuVChvxK6SMQbPK8iRn.eval,2026-02-06T07:21:39.976Z,RbcvuVChvxK6SMQbPK8iRn
claude-opus-4-5-20251101,0.7665289256198347,0.7665289256198347,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.01924895909142592,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FmKQKxkpGDrFHBPBYR3mBrB.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/mKQKxkpGDrFHBPBYR3mBrB.eval,2026-02-05T22:06:33.964Z,mKQKxkpGDrFHBPBYR3mBrB
claude-sonnet-4-5-20250929,0.7128099173553719,0.7128099173553719,2025-09-29,Anthropic,United States of America,,,0.020587234937983246,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FLti64yMEsBWSzgEMFCSVhp.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/Lti64yMEsBWSzgEMFCSVhp.eval,2026-02-05T16:52:49.622Z,Lti64yMEsBWSzgEMFCSVhp
gpt-5-2025-08-07_medium,0.7148760330578512,0.7148760330578512,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.020542754003902382,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FFCCkMNVHcjLLUDeNFqTGRL.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/FCCkMNVHcjLLUDeNFqTGRL.eval,2026-02-05T13:39:28.137Z,FCCkMNVHcjLLUDeNFqTGRL
claude-3-7-sonnet-20250219,0.609504132231405,0.609504132231405,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,0.022198466971122266,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FcnM8U6moeqrp74wnXRj2Jj.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/cnM8U6moeqrp74wnXRj2Jj.eval,2026-02-04T18:05:21.852Z,cnM8U6moeqrp74wnXRj2Jj
gpt-5-mini-2025-08-07_medium,0.6466942148760331,0.6466942148760331,2025-08-07,OpenAI,United States of America,,,0.021749601139671306,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F7nvdQy3AwKtoay2FBvfST5.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/7nvdQy3AwKtoay2FBvfST5.eval,2026-02-01T11:28:37.125Z,7nvdQy3AwKtoay2FBvfST5
