Model version,Average progress,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Average Standard error,BabyAI progress,BabyAI Standard error,Crafter progress,Crafter Standard error,TextWorld progress,TextWorld Standard error,BabaIsAI progress,BabaIsAI Standard error,MiniHack progress,MiniHack Standard error,NetHack progress,NetHack Standard error,Date added,Trajectories,Source,Source link,Notes,id
grok-3-beta,0.295,2025-04-09,xAI,United States of America,3.5e+26,"Estimate based on a cluster of 80,000 H100s per the xai website and an estimated training time of approximately three months.

Full estimate here: https://docs.google.com/document/d/1MIUFviULJ3YI_XjyzL8cwG0cBRANKNxVEB4DrUcFiNs/edit?usp=sharing",0.022000000000000002,0.62,0.069,0.25,0.040999999999999995,0.325,0.069,0.33299999999999996,0.043,0.225,0.066,0.016,0.004,2025-04-25,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20250425_naive_grok-3,https://balrogai.com/,https://balrogai.com/,,recOo6W8q0IzNh3Fz
reka-flash-3,0.292,2025-03-10,Reka AI,United States of America,,,0.018000000000000002,0.76,0.06,0.336,0.035,0.11599999999999999,0.046,0.433,0.045,0.1,0.047,0.006,0.003,2025-03-13,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20250313_robust_cot_Reka-Flash-3,https://balrogai.com/,https://balrogai.com/,,recNhhny2hCRlcZ6O
Llama-3.1-70B-Instruct,0.27899999999999997,2024-07-23,Meta AI,United States of America,7.929e+24,"Huggingface page says 3.1-70B used 7.0M H100 hours and trained over 15T tokens. https://huggingface.co/meta-llama/Llama-3.1-70B
The paper also says that 3.1-405B got MFU of between 38-43%; presumably 70B was around the same or a bit higher. I'll assume utilization of 40%

6ND:
6 * 15T * 70B = 6.3e24 FLOPs

Hardware:
7M * 9.9e14 * 3600 * 0.4 = 9.98e24 FLOPs

Geometric mean: sqrt(6.3e24 * 9.98e24) = 7.929e24

Note that Llama 3-70B also said it used 15T tokens, but only 6.4M H100 hours. This suggests 3.1 might have used a bit more than 15T tokens.

Training compute upper bound: 7M H100-hours * 989 TFLOPS * 50% utilization = 1.25e25 FLOP",0.013999999999999999,0.7320000000000001,0.04,0.312,0.027000000000000003,0.15,0.046,0.4,0.034,0.075,0.042,0.003,0.003,2024-11-11,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recteB2cIvITYSNNg
Llama-3.2-90B-Vision-Instruct,0.273,2024-09-24,Meta AI,United States of America,,,0.013999999999999999,0.72,0.063,0.317,0.013999999999999999,0.11199999999999999,0.03,0.439,0.035,0.05,0.034,0.0,0.0,2024-11-11,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recHmm4u7kk4i2kTV
Llama-3.3-70B-Instruct,0.23,2024-12-06,Meta AI,United States of America,6.8649768e+24,"6ND = 6 FLOP / parameter / token * 70*10^9 parameters * 15*10^12 tokens = 6.3e+24 FLOP

7000000 GPU-hours * 3600 sec / hour * 989500000000000 FLOP / second * 0.3 [assumed utilization]= 7.48062e+24 FLOP

sqrt(7.48062e+24*6.3e+24) = 6.8649768e+24",0.017,0.66,0.067,0.28600000000000003,0.040999999999999995,0.09,0.028999999999999998,0.292,0.040999999999999995,0.05,0.034,0.004,0.003,2024-12-09,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20241209_naive_Llama-3.3-70B-Instruct,https://balrogai.com/,https://balrogai.com/,,recY4fmN8bgBjHj5R
gemini-1.5-pro-002,0.21,2024-09-24,Google DeepMind,United States of America,,Training compute imputed to be 1.58e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,0.012,0.584,0.044000000000000004,0.302,0.028999999999999998,0.0,0.0,0.32,0.033,0.05,0.035,0.004,0.004,2024-11-11,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recWRZ7DAviIRftFN
DeepSeek-R1-Distill-Qwen-32B,0.195,2025-01-20,DeepSeek,China,,"Qwen2.5-32B: 3.51e+24 FLOP
Fine-tune compute: 9.22e21 FLOP",0.016,0.48,0.071,0.15,0.021,0.106,0.037000000000000005,0.4,0.045,0.025,0.025,0.006999999999999999,0.004,2025-01-26,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20250126_robust_cot_deepseek_R1_distill_qwen32B,https://balrogai.com/,https://balrogai.com/,,recEyZ7hXqvBVFI5X
claude-3-5-haiku-20241022,0.193,2024-10-22,Anthropic,United States of America,,,0.018000000000000002,0.52,0.071,0.264,0.027999999999999997,0.18,0.057999999999999996,0.083,0.025,0.1,0.047,0.012,0.004,2024-12-11,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20241209_naive-claude-3-5-haiku,https://balrogai.com/,https://balrogai.com/,,recCcD32JXmEOmxbh
Mistral-Nemo-Instruct-2407,0.17600000000000002,2024-07-18,Mistral AI,France,,,0.015,0.5,0.071,0.277,0.027000000000000003,0.045,0.013000000000000001,0.20800000000000002,0.037000000000000005,0.025,0.025,0.003,0.003,2024-12-09,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20241209_naive-mistral-nemo-instruct,https://balrogai.com/,https://balrogai.com/,,rec49SaiDl0h4hTar
gpt-4o-mini-2024-07-18,0.174,2024-07-18,OpenAI,United States of America,,"Training compute estimated to be 7.36001e+24 from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing

90% CI [3.23e+24, 2.05e+25]",0.013999999999999999,0.504,0.045,0.159,0.02,0.122,0.035,0.156,0.025,0.1,0.047,0.0,0.0,2024-11-11,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",reccmCPuiookWJZbw
Llama-3.2-11B-Vision-Instruct,0.168,2024-09-24,Meta AI,United States of America,5.79e+23,"Tensor type is BF16 (https://huggingface.co/meta-llama/Llama-3.2-11B-Vision-Instruct).

“Training utilized a cumulative of 2.02M GPU hours of computation on H100-80GB (TDP of 700W) type hardware, per the table below. Training time is the total GPU time required for training each model and power consumption is the peak power capacity per GPU device used, adjusted for power usage efficiency… Training time: Stage 1 pretraining: 147K H100 hours Stage 2 annealing: 98K H100 hours SFT: 896 H100 hours RLHF: 224 H100 hours.” (https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD_VISION.md#hardware-and-software).

The Nvidia H100 80GB is the H100 SXM. BFLOAT16 Tensor Core peak FLOPS with sparsity is 1,979 teraFLOPS (https://resources.nvidia.com/en-us-tensor-core/nvidia-tensor-core-gpu-datasheet?ncid=no-ncid).

Assuming 33% utilization rate,
Training compute
~= 0.33 * ( 147000 + 98000 + 896 + 224 ) hours * 3600 s / hour * 1979e12 FLOPS / GPU
~= 5.79e23 FLOPS",0.015,0.5,0.071,0.262,0.033,0.067,0.022000000000000002,0.156,0.025,0.025,0.025,0.0,0.0,2024-11-11,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recPgyvQTfFeS5y6w
qwen2.5-72b-instruct,0.162,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",0.016,0.34,0.067,0.273,0.036000000000000004,0.11199999999999999,0.038,0.193,0.036000000000000004,0.05,0.034,0.003,0.003,2024-11-25,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recpSxQQcNcrGbyaf
Llama-3.1-8B-Instruct,0.151,2024-07-23,Meta AI,United States of America,1.224e+24,"Huggingface page says 3.1-8B used 1.46M H100 hours and trained over 15T tokens. https://huggingface.co/meta-llama/Llama-3.1-70B
The paper also says that 3.1-405B got MFU of between 38-43%; presumably 8B was around the same or a bit higher. I'll assume utilization of 40%

6ND:
6 * 15T * 8B = 7.2e23 FLOPs

Hardware:
1.46M * 9.9e14 * 3600 * 0.4 = 2.08e24 FLOPs

Geometric mean: sqrt(7.2e23 * 2.08e24) = 1.224e24

Note that Llama 3-8B also said it used 15T tokens, but only 1.3M H100 hours. This suggests 3.1 might have used a bit more than 15T tokens.",0.016,0.36,0.068,0.255,0.032,0.061,0.024,0.18300000000000002,0.035,0.05,0.034,0.0,0.0,2024-11-11,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recnsJM2l3foJ2IOJ
gemini-1.5-flash-002,0.146,2024-09-24,Google DeepMind,United States of America,,"""Gemini 1.5 Flash is a dense Transformer based model that is online distilled [...] from Gemini 1.5 Pro.""",0.013999999999999999,0.5,0.071,0.2,0.006999999999999999,0.0,0.0,0.128,0.023,0.05,0.035,0.0,0.0,2024-11-11,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recQrinDnBT5cObDo
Qwen2-VL-72B-Instruct,0.128,2024-08-29,,,,,0.016,0.24,0.06,0.227,0.027000000000000003,0.165,0.054000000000000006,0.10800000000000001,0.027999999999999997,0.025,0.025,0.0,0.0,2024-11-25,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recArad880ZgrbLfj
phi-4,0.11599999999999999,2024-12-12,Microsoft Research,United States of America,9.3202015e+23,"6ND = 6* 14*10^9 parameters * 10*10^12 tokens = 8.4e+23 FLOP

989500000000000 FLOP / sec [assumed bf16 precision] * 1920 GPUs * 504 hours * 3600 sec / hour * 0.3 [assumed utilization] = 1.0341209e+24 FLOP

geometric mean
sqrt(8.4e+23 * 1.0341209e+24) = 9.3202015e+23",0.013999999999999999,0.32,0.066,0.136,0.027000000000000003,0.025,0.009000000000000001,0.167,0.034,0.05,0.034,0.0,0.0,2025-01-13,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20250113_robust_naive_microsoft_phi-4,https://balrogai.com/,https://balrogai.com/,,recsjSXTW4U8imj8U
Llama-3.2-3B-Instruct,0.10099999999999999,2024-09-24,Meta AI,United States of America,1.7334e+23,"6ND = 6*3210000000.00*9000000000000 = 1.7334e+23

460000 hours * 3600 s * 133800000000000 FLOPS/s* 0.3 = 6.647184e+22",0.013000000000000001,0.2,0.057,0.17300000000000001,0.027999999999999997,0.035,0.011000000000000001,0.17500000000000002,0.035,0.025,0.025,0.0,0.0,2024-11-11,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20241030_naive-Llama-3.2-3B-Instruct,https://balrogai.com/,https://balrogai.com/,,recwneInyMuZawoFC
qwen2.5-7b-instruct,0.078,2024-09-19,Alibaba,China,8.2188e+23,"Training dataset size was 18 trillion

6ND = 6 * 7.61 billion parameters * 18 trillion tokens = 8.2188e+23",0.011000000000000001,0.14,0.049,0.16399999999999998,0.03,0.039,0.01,0.125,0.03,0.0,0.0,0.0,0.0,2024-11-25,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20241115_naive-Qwen2.5-7B-it,https://balrogai.com/,https://balrogai.com/,,recEMm4aiOXvIdY1V
Llama-3.2-1B-Instruct,0.066,2024-09-24,Meta AI,United States of America,6.642e+22,"6ND = 6*1230000000.00*9000000000000 = 6.642e+22

370000 hours * 3600 s * 133800000000000 FLOPS/s* 0.3 = 5.346648e+22",0.01,0.08,0.038,0.127,0.019,0.033,0.009000000000000001,0.10800000000000001,0.027999999999999997,0.05,0.034,0.0,0.0,2024-11-11,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20241030_naive-Llama-3.2-1B-Instruct,https://balrogai.com/,https://balrogai.com/,,recX2FEa3w9GQpsGc
Qwen2-VL-7B-Instruct,0.037000000000000005,2024-08-29,,,,,0.008,0.04,0.027999999999999997,0.064,0.017,0.016,0.006,0.076,0.024,0.025,0.025,0.0,0.0,2024-11-25,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recBFyLHvaPPkNhv7
