Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Cost per task,Notes,id
claude-opus-4-6_120K,0.6917,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, High)",,,recudCqZO2yzH6CbV
claude-opus-4-6_120K,0.6875,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Max)",,,recZU5GRhR5s7GfZQ
claude-opus-4-7_high,0.6833,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (High),,,recvk5AeE5Go58i7M
claude-opus-4-7_high,0.683,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (High),3.17,,recPv91tJnBXcqcnw
gpt-5.4-2026-03-05_high,0.675,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (High),1.02,,recSSPRQPLhYElikJ
claude-opus-4-7_medium,0.675,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Medium),2.96,,recCucGVHjJSEdw24
grok-4.6_xhigh,0.6708333333333333,2026-08-12,xAI,United States of America,,,Grok 4.6 (XHigh),,,recnfCzGM2VEgFNR4
gpt-5.6-sol_medium,0.6708,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Medium),0.47,,rec8lDUeLifBHj8WC
gpt-5.6-terra_high,0.6708,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (High),0.55,,recxzIevuyQumJson
claude-opus-4-6_120K,0.6625,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Medium)",,,recsGnPYUYFhuwrgg
grok-4-20,0.6514,2026-02-17,xAI,United States of America,,,Grok 4.20 (Reasoning),0.92,,rec0q8XRFqTb9j85f
grok-4.6_high,0.6513888888888889,2026-08-12,xAI,United States of America,,,Grok 4.6 (High),,,recN0KfJ7ZaHfvhAX
claude-opus-4-6_120K,0.6458,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Low)",,,rec0H4L8zJfLACTG4
gemini-3.7-flash_medium,0.6375,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash (Medium),,,rec2wVAL92Ucyu4qv
claude-opus-4-8_low,0.6222,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Low),1.6818,,recs1YmhMRL5aoCXZ
claude-opus-4-7_low,0.6208,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Low),2.38,,recyXuHnrwdkJwc9k
deepseek-v4-flash-0731_max,0.6138888888888888,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",DeepSeek V4 Flash 0731 (Max),,,recqcmcc7Kh55NAHM
grok-4.6_medium,0.6125,2026-08-12,xAI,United States of America,,,Grok 4.6 (Medium),,,reckZ7gdV3Ubjjm8X
deepseek-v4-pro-0813_max,0.6125,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,DeepSeek V4 Pro 0813 (Max),,,recqVgMSHWE1dbgLk
claude-sonnet-4-6_high,0.6042,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (High),2.6966,,recIlUapCqVFHs6qj
kimi-k3_max,0.6041666666666666,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3 (Max),1.5926940250000003,,rec4wHjT7MjgYLj9Q
gemini-3.6-flash_high,0.6041666666666666,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash (High),,,recbJYchGoqumGxjl
deepseek-v4-pro-0813_high,0.5972222222222221,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,DeepSeek V4 Pro 0813 (High),,,recOlpjOWSD4HNdzV
gpt-5.6-luna_max,0.5954,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Max),0.67,,rec0Or1yRuToQETpO
claude-sonnet-4-6_max,0.5833,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (Max),2.7179,,reco6ICSvrm675Zqs
deepseek-v4-pro-0813_low,0.5625,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,DeepSeek V4 Pro 0813 (Low),,,recnvqDqZzZ6fLyzg
deepseek-v4-flash-0731_high,0.5597222222222221,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",DeepSeek V4 Flash 0731 (High),,,rec8CN4idKsciI46Q
gpt-5.4-2026-03-05_medium,0.5542,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (Medium),0.68,,recMec1xlzVYbvboI
kimi-k3_high,0.55,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3 (High),0.9472229249999998,,receUA2QktYdPoRHt
gpt-5.2-pro-2025-12-11_high,0.5416,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (High),15.721,,recC6V59wjvT4mX12
gemini-3.7-flash_low,0.5291666666666667,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash (Low),,,rec9BSK1rciwNOFqp
gpt-5.2-2025-12-11_xhigh,0.5291,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (X-High),1.8982,,recS9jrqUC4LBQDMg
gpt-5.2-2025-12-11_xhigh,0.5291,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (xHigh),,,recaVCKBQjIjHS5cs
gpt-5.2-2025-12-11_xhigh,0.5291,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (XHigh),,,recKOxOLmel1LyZ4u
grok-4.5_high,0.5264,2026-07-08,xAI,United States of America,,,Grok 4.5 (High),0.78,,rec9nxVNWAW6hkK3O
grok-4.5_medium,0.5264,2026-07-08,xAI,United States of America,,,Grok 4.5 (Medium),0.75,,recuhP5poLz9p1THE
gemini-3.6-flash_medium,0.5041666666666667,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash (Medium),,,recBXB0b72NG9lA0o
gpt-5.6-luna_xhigh,0.4764,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (xHigh),0.54,,recUz4W8immjSHPf0
gpt-5.6-luna_xhigh,0.4764,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (XHigh),,,rec5u9d3UJgddydsq
deepseek-v4-flash-0731_low,0.4597222222222222,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",DeepSeek V4 Flash 0731 (Low),,,rec6M7tXqk2R8OtRT
gemini-3-deep-think-preview,0.4514,2026-02-12,,,,,Gemini 3 Deep Think (Preview) ²,,,recQNM7laEXnYaZlu
gpt-5.2-2025-12-11_high,0.4333,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (High),1.393,,recZgpSoatzOtn3rb
gpt-5.6-sol_low,0.425,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Low),0.32,,recYYBTJBos18GflF
inkling-small_xhigh,0.40138888888888885,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (XHigh),,,recsPDzpQmPtMA77v
gpt-5.2-pro-2025-12-11_medium,0.3847,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (Medium),8.9928,,recNfd2GOThl8JJsR
claude-opus-4-5-20251101_64K,0.3764,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 64K)",2.4,,recv5sJsLP2dDw5bN
gpt-5.6-terra_medium,0.375,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Medium),0.27,,recxR9NtkO4IkDlEG
Inkling,0.3652777777777778,2026-07-15,Thinking Machines,United States of America,1.845e+24,6ND = 41e9 active parameters * 45e12 tokens = 1.845e+24 FLOP,Inkling,0.6420766277310923,,recAYJP4QCBvL0DVU
gemini-3-flash-preview,0.3361,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash Preview (High),,,recatuxrQ5J2dsdHg
gpt-5.5_low,0.3333,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (Low),0.35,,recIDNd1cnFpANX8V
grok-4.5_low,0.3306,2026-07-08,xAI,United States of America,,,Grok 4.5 (Low),0.4,,recyCgaKaJtUJErQt
inkling-small_high,0.3305555555555556,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (High),,,reck4VZ8pzUebO0an
gemini-3-pro-preview,0.3111,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,Gemini 3 Pro,,,recpfIvjpQ9j5qjkw
gemini-3.6-flash_low,0.30416666666666664,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash (Low),,,rec3i0ahAD3ypm5Zn
gpt-5.6-luna_high,0.2931,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (High),0.29,,recPiIGgsFkyUNMRY
gpt-5.4-2026-03-05_low,0.2917,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (Low),0.27,,recKYmHa8qFLZepys
grok-4.6_low,0.2763888888888889,2026-08-12,xAI,United States of America,,,Grok 4.6 (Low),,,recKiwALxu32UoPq6
gpt-5.2-2025-12-11_medium,0.2667,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (Medium),0.7594,,recC0T6EG6UZ9vBNr
claude-opus-4-5-20251101_16K,0.2278,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 16K)",0.79,,rec75TsP1Xy1ROEez
glm-5.2_unknown,0.22775000000000004,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2,0.2501,,recMTvejGGEdgJHsM
gpt-5.4-mini-2026-03-17_xhigh,0.189,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (xHigh),0.75,,recTo7b6iwUks0bgH
gpt-5.4-mini-2026-03-17_xhigh,0.189,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (XHigh),,,recOyW5fmk9px98go
gpt-5.6-terra_low,0.1875,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Low),0.17,,recBmdT4RIrE6PjQC
gpt-5-pro-2025-10-06_unknown,0.1833,2025-10-07,OpenAI,United States of America,,,GPT-5 Pro,7.1432,,recEX7lSg0Egk0RAh
gpt-5.1-2025-11-13_high,0.1764,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
","GPT-5.1 (Thinking, High)",1.1704,,rec0q3XOoL5ig2rmC
grok-4-0709,0.15975,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",Grok 4 (Thinking),,,recejdgNxM9Ez5aMB
claude-opus-4-5-20251101_8K,0.1389,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 8K)",0.48,,recz5urlvGWID1WRk
inkling-small_medium,0.13611111111111113,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (Medium),,,recLQJEf1lasl3iLq
claude-sonnet-4-5-20250929_32K,0.1361,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 32K),0.7589,,recBx0qeevdxXEZ8W
gpt-5.4-mini-2026-03-17_high,0.1319,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (High),0.56,,rec9Usyz2ygQJzgfc
gemini-3-flash-preview,0.1278,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash Preview (Medium),,,recbLiiMWEmhWHfWb
kimi-k3_low,0.12361111111111112,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3 (Low),0.2541386750000001,,recH5KE0OlSAl8M1N
kimi-k2.5,0.11810000000000001,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi K2.5,0.28,,rec04h17vuGSX2tFu
gemini-3.5-flash-lite_high,0.10277777777777779,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.5 Flash-Lite (High),,,reclIbIS7tm9flLtQ
gpt-5-2025-08-07_high,0.0986,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (High),0.7302,,rec4cuWugsakV5GLa
gpt-5.2-2025-12-11_low,0.0972,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (Low),0.2642,,recCKI1LVFbETuKYX
gemini-3.5-flash_minimal,0.0889,2026-05-19,Google DeepMind,United States of America,,,Gemini 3.5 Flash (Minimal),0.1074,,recADvSyiT3Ze8RTf
claude-opus-4-20250514_16K,0.0861,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4 (Thinking 16K),1.9284,,recPD5WSzdGAFCyf4
claude-opus-4-5-20251101,0.0778,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, None)",0.22,,recS34qcEATpV9BeX
gpt-5-2025-08-07_medium,0.0749,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (Medium),0.4486,,recpm3DPVRPZRfhTi
gpt-5.6-luna_medium,0.0736,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Medium),0.11,,recMYrbV5q1DoQno8
claude-sonnet-4-5-20250929_16K,0.0694,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 16K),0.3499,,recxP8m3sCHQpBdki
claude-sonnet-4-5-20250929_8K,0.0694,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 8K),0.2349,,recRCNsLfgxjg8Syp
o3-2025-04-16_high,0.0653,2025-04-16,OpenAI,United States of America,,,o3 (High),0.8339,,recuw1OMe7R6TbHZM
gpt-5.1-2025-11-13_medium,0.0653,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
","GPT-5.1 (Thinking, Medium)",0.4206,,recNeyhzsD2NO7yJf
tiny-recursion-model,0.0625,2025-10-06,,,,,Tiny Recursion Model (TRM),2.1,,rec8J2syeKkuAoziw
o4-mini-2025-04-16_high,0.0611,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o4-mini (High),0.856,,recP5Py2i3sdybPd9
claude-sonnet-4-20250514_16K,0.0593,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Sonnet 4 (Thinking 16K),0.4857,,recRLtrNpStDOz6At
claude-sonnet-4-5-20250929_1K,0.058300000000000005,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 1K),0.1424,,recrn6MqgrBWyFiCl
gpt-5.4-nano-2026-03-17_xhigh,0.0569,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (xHigh),0.16,,recDffGQ5x3Y5ZmgX
gpt-5.4-nano-2026-03-17_xhigh,0.0569,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (XHigh),,,rec673d2Y0YYbsyCN
grok-4-fast,0.05280000000000001,2025-09-19,xAI,United States of America,,,Grok 4 (Fast Reasoning),0.061,,recdEUBeSozsdeDTq
gemini-3.5-flash-lite_medium,0.05277777777777778,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.5 Flash-Lite (Medium),,,recFK2geZNpxgTR6S
gpt-5.6-luna_low,0.05140000000000001,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Low),0.07,,recBsVVGrHfOLtNQV
inkling-small_low,0.04861111111111112,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (Low),,,recTGtS1poOZmyDqT
o3-pro-2025-06-10_high,0.0486,2025-06-10,OpenAI,United States of America,,,o3-Pro (High),7.5516,,recNnknL5K4qDifiQ
gemini-2.5-pro_32K,0.0486,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini 2.5 Pro (Thinking 32K),0.757,,recwTBxP1gSo6ob15
MiniMax-M2.5,0.0486,2026-02-12,MiniMax,China,,,Minimax M2.5,0.17,,recvWNVGtC7Qa9iB1
glm-5,0.0486,2026-02-11,Z.ai (Zhipu AI),China,6.84e+24,6 * 40B parameters * 28.5e12 tokens = 6.84e24 FLOP estimated,GLM-5,0.27,,recqRJ9q9MWn4yawx
claude-opus-4-20250514_8K,0.0452,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4 (Thinking 8K),1.1569,,recgJTyUSx4UkgSdV
gpt-5-mini-2025-08-07_high,0.0444,2025-08-07,OpenAI,United States of America,,,GPT-5 Mini (High),0.1977,,recMKGnQgFOoIKBTQ
gpt-5.4-mini-2026-03-17_medium,0.0444,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (Medium),0.33,,recFStDaPJA1WgZ7p
gemini-2.5-pro_16K,0.0403,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini 2.5 Pro (Thinking 16K),0.7145,,recssQ9dWplBUSA3l
gpt-5-mini-2025-08-07_medium,0.0403,2025-08-07,OpenAI,United States of America,,,GPT-5 Mini (Medium),0.0629,,recMk9nDIaqlCGFqp
claude-haiku-4-5-20251001_32K,0.0403,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5 (Thinking 32K),0.3766,,rec0kK1dRykoyqY0K
deepseek/deepseek-v3.2,0.0403,2025-12-01,DeepSeek,China,4.2e+24,"Pre-trained base was DeepSeek-V3.1-Terminus
3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",Deepseek V3.2,0.12,,recxNNssasIdr4hNl
inkling-small_minimal,0.04027777777777778,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (Minimal),,,recShkDWJemDJ83cK
