Model version,Accuracy,CRI-rescaled score,CRI-rescaled score 95% CI (±),EDT answer preference,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Source,Notes
Llama-4-Maverick-17B-128E-Instruct,0.6187,36.45,8.1992,0.6,2025-04-05,Meta AI,United States of America,2.244000000001e+24,"22T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md   

Maverick was trained using co-distillation from Llama 4 Behemoth. It isn't 100% clear that all 22T tokens used distillation, but we assume this for the time being.

Estimating training compute from parameters and tokens:
Compute = 6 FLOP per token per parameter * 17B active parameters * 22T tokens = 2.244e24 FLOP
(Implying mean throughput was 262 TFLOPS/GPU, or 13.2% MFU in FP8)


The model card also states that Llama 4 Maverick used 2.38M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 2.38 million hours = 3.342e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Maverick than for Behemoth.)",Llama 4 Maverick,https://conceptualreasoning.ai/dtbench,
mistral-large-2402,0.559,26.5037,8.3754,0.539,2024-02-26,Mistral AI,France,,"https://www.wsj.com/tech/ai/the-9-month-old-ai-startup-challenging-silicon-valleys-giants-ee2e4c48

Mistral spent <20 million euro (meaning approximately 20 million?) to train Mistral Large.


Assuming bf16 or fp16, H100 SXM performance is 989 TFLOPS
At 1.9 euro per H100-hour and 30% utilization, spending 20M euro produces 1.12*10^25 FLOP.
https://www.wolframalpha.com/input?i=20+million+%2F+%281.9%2Fhour%29+*+989+TFLOPS+*+0.30 ",Mistral Large (Feb '24),https://conceptualreasoning.ai/dtbench,
DeepSeek-V3-0324,0.648,41.3333,8.0685,0.7123,2025-03-24,DeepSeek,China,3.3e+24,"6 × 37B × 14.8T = 3.29e24 pretraining FLOPs, 1e22 posttrainining FLOPs - see doc below

https://docs.google.com/document/d/1C4zBvHh4UNnzaorwQSdG61zQJsBV9X3i3A70NeelxHY/edit?usp=sharing",DeepSeek Chat V3 (0324),https://conceptualreasoning.ai/dtbench,
Llama-3.3-70B-Instruct,0.5947,32.45,8.2972,0.5278,2024-12-06,Meta AI,United States of America,6.8649768e+24,"6ND = 6 FLOP / parameter / token * 70*10^9 parameters * 15*10^12 tokens = 6.3e+24 FLOP

7000000 GPU-hours * 3600 sec / hour * 989500000000000 FLOP / second * 0.3 [assumed utilization]= 7.48062e+24 FLOP

sqrt(7.48062e+24*6.3e+24) = 6.8649768e+24",Llama 3.3 70B,https://conceptualreasoning.ai/dtbench,
gpt-4-0613,0.6267,37.7833,8.1665,0.6667,2023-06-13,OpenAI,United States of America,2.1e+25,"90% CI: 8.2E+24 to 4.4E+25

NOTE: this is a rough estimate based on public information, much less information than most other systems in the database.

Calculation and confidence intervals here: https://colab.research.google.com/drive/1O99z9b1I5O66bT78r9ScslE_nOj5irN9?usp=sharing",GPT-4,https://conceptualreasoning.ai/dtbench,
Qwen3-30B-A3B,0.6027,33.7833,8.2645,0.6447,2025-04-29,Alibaba,China,6.48e+23,6 FLOP / parameter / token * 3*10^9 active parameters * 36000000000000 tokens = 6.48e+23 FLOP,Qwen3 30B-A3B,https://conceptualreasoning.ai/dtbench,
Mixtral-8x22B-Instruct-v0.1,0.5514,25.237,8.3896,0.5025,2024-04-17,Mistral AI,France,2.34e+24,"Assuming the model was trained on ~1-10 trillions of tokens (same OOM as the models from the comparison in Figure 1. Llama 2 was trained on 2T tokens) + Mistral Small 3 was trained on 8T of tokens, we can estimate training compute with ""speculative"" confidence:

6 FLOP / token / parameter * 39 * 10^9 active parameters * 10*10^12 tokens [speculatively] = 2.34e+24 FLOP",Mixtral 8x22B,https://conceptualreasoning.ai/dtbench,
gemini-2.5-flash-lite-preview-06-17-thinking,0.6283,38.05,8.1665,0.5616,2025-06-17,Google DeepMind,United States of America,,,Gemini 2.5 Flash-Lite,https://conceptualreasoning.ai/dtbench,
deepseek-chat,0.6267,37.7833,8.1665,0.6711,2025-12-01,DeepSeek,China,4.2e+24,"Pre-trained base was DeepSeek-V3.1-Terminus
3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",DeepSeek Chat,https://conceptualreasoning.ai/dtbench,
Llama-3.1-70B-Instruct,0.6,33.3333,8.2645,0.527,2024-07-23,Meta AI,United States of America,7.929e+24,"Huggingface page says 3.1-70B used 7.0M H100 hours and trained over 15T tokens. https://huggingface.co/meta-llama/Llama-3.1-70B
The paper also says that 3.1-405B got MFU of between 38-43%; presumably 70B was around the same or a bit higher. I'll assume utilization of 40%

6ND:
6 * 15T * 70B = 6.3e24 FLOPs

Hardware:
7M * 9.9e14 * 3600 * 0.4 = 9.98e24 FLOPs

Geometric mean: sqrt(6.3e24 * 9.98e24) = 7.929e24

Note that Llama 3-70B also said it used 15T tokens, but only 6.4M H100 hours. This suggests 3.1 might have used a bit more than 15T tokens.

Training compute upper bound: 7M H100-hours * 989 TFLOPS * 50% utilization = 1.25e25 FLOP",Llama 3.1 70B,https://conceptualreasoning.ai/dtbench,
qwen2.5-72b-instruct,0.6293,38.2167,8.1665,0.6133,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",Qwen2.5 72B,https://conceptualreasoning.ai/dtbench,
gpt-5-nano-2025-08-07_high,0.6267,37.7833,8.1665,0.5302,2025-08-07,OpenAI,United States of America,,,GPT-5 nano,https://conceptualreasoning.ai/dtbench,
claude-3-opus-20240229,0.616,36.0,8.1992,0.5957,2024-02-29,Anthropic,United States of America,,Training compute estimated to be 1.64e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,Claude 3 Opus,https://conceptualreasoning.ai/dtbench,
Meta-Llama-3-70B-Instruct,0.5416,23.6074,8.405,0.5831,2024-04-18,Meta AI,United States of America,7.861e+24,"Arithmetic calculation:
6 * 15T tokens * 70B parameters = 6.3e24

GPU calculation:
https://huggingface.co/meta-llama/Meta-Llama-3-70B indicates training took 6.4M GPU-hours
We also know their larger scale training runs for 405B were getting between 0.38-0.41 MFU. Presumably the 70B model gets at least 0.43 utilization (405B has to be split across two nodes, while 70B should fit on one).
990 TFLOPS per GPU * 6.4 million GPU hours * 3600s * 0.43 = 9.808e24

Geometric mean: sqrt(6.3e24 * 9.808e24) = 7.861e24",Llama 3 70B,https://conceptualreasoning.ai/dtbench,
Llama-4-Scout-17B-16E-Instruct,0.5787,29.7833,8.3299,0.5467,2025-04-05,Meta AI,United States of America,4.08e+24,"40T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md  

Estimating training compute from parameters and tokens:
6 FLOP per token per parameter * 17B active parameters * 40T tokens = 4.08e24 FLOP
(Implying mean throughput was 227 TFLOPS/GPU, or 11.5% MFU in FP8)


The model card also states that Llama 4 Scout used 5.0M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 5 million hours = 7.02e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Scout than for Behemoth.)",Llama 4 Scout,https://conceptualreasoning.ai/dtbench,
gemini-1.5-flash-002,0.5379,22.9852,8.41,0.5486,2024-09-24,Google DeepMind,United States of America,,"""Gemini 1.5 Flash is a dense Transformer based model that is online distilled [...] from Gemini 1.5 Pro.""",Gemini 1.5 Flash (002),https://conceptualreasoning.ai/dtbench,
claude-3-sonnet-20240229,0.536,22.6595,8.4125,0.5661,2024-02-29,Anthropic,United States of America,,,Claude 3 Sonnet,https://conceptualreasoning.ai/dtbench,
mistral-medium-2312,0.533,22.1704,8.416,0.5086,2023-12-11,Mistral AI,France,,,Mistral Medium (Dec '23),https://conceptualreasoning.ai/dtbench,
mistral-small-2402,0.5296000000000001,21.5926,8.4196,0.518,2024-02-26,,,,,Mistral Small (Feb '24),https://conceptualreasoning.ai/dtbench,
gpt-4-turbo,0.616,36.0,8.1992,0.5987,2023-11-06,OpenAI,United States of America,,Training compute estimated to be 2.2e25 FLOP using benchmark imputation. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,GPT-4 Turbo,https://conceptualreasoning.ai/dtbench,
gemini-2.0-flash-lite,0.5253,20.8889,8.4235,0.5442,2025-02-05,Google DeepMind,United States of America,,,Gemini 2.0 Flash-Lite,https://conceptualreasoning.ai/dtbench,
c4ai-command-a-03-2025,0.6133,35.55,8.2318,0.5333,2025-03-13,Cohere,Canada,,"Unlikely to be >1e25 FLOP. Trained on ""trillions of tokens"", so C=6ND would suggest at most 6*111e9*10e12 = 7e24 FLOP if it used 10T tokens.",Command A,https://conceptualreasoning.ai/dtbench,
qwen3-8b,0.5972999999999999,32.8833,8.2972,0.6842,2025-04-28,Alibaba,China,1.7712e+24,6 FLOP / parameter / token * 36 * 10^12 tokens * 8.2  * 10^9 parameters = 1.7712e+24 FLOP,Qwen3 8B,https://conceptualreasoning.ai/dtbench,
claude-2.0,0.5185000000000001,19.7444,8.4286,0.5393,2023-07-11,Anthropic,United States of America,3.866e+24,https://colab.research.google.com/drive/1MdPuhS4Emaf23VXYZ-ooExDW-5GXZkw0#scrollTo=Ds0Q5X8aMnOY,Claude 2.0,https://conceptualreasoning.ai/dtbench,
gemma-3-27b-it,0.5253,20.8833,8.4278,0.5556,2025-03-12,Google DeepMind,United States of America,2.268e+24,6ND =  6 * 27B parameters * 14T training tokens = 2.268 × 10^24 FLOP,Gemma 3 27B,https://conceptualreasoning.ai/dtbench,
gemini-1.5-flash-001,0.5138,18.9704,8.4311,0.4819,2024-05-23,Google DeepMind,United States of America,,"""Gemini 1.5 Flash is a dense Transformer based model that is online distilled [...] from Gemini 1.5 Pro.""",Gemini 1.5 Flash (001),https://conceptualreasoning.ai/dtbench,
claude-2.1,0.5095000000000001,18.2466,8.4328,0.5587,2023-11-21,Anthropic,United States of America,,,Claude 2.1,https://conceptualreasoning.ai/dtbench,
gpt-4o-mini-2024-07-18,0.544,24.0,8.4278,0.5823,2024-07-18,OpenAI,United States of America,,"Training compute estimated to be 7.36001e+24 from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing

90% CI [3.23e+24, 2.05e+25]",GPT-4o mini,https://conceptualreasoning.ai/dtbench,
gemini-1.5-flash-8b-001,0.5004,16.7259,8.4343,0.4829,2024-10-03,Google DeepMind,United States of America,,,Gemini 1.5 Flash-8B,https://conceptualreasoning.ai/dtbench,
open-mixtral-8x7b,0.4961,16.0148,8.4341,0.5109,2023-12-11,Mistral AI,France,7.74e+23,"Assuming the model was trained on ~1-10 trillions of tokens (same OOM as the models from the comparison in Figure 1. Llama 2 was trained on 2T tokens) + Mistral Small 3 was trained on 8T of tokens, we can estimate training compute with ""speculative"" confidence:

6 FLOP / token / parameter * 12.9 * 10^9 active parameters * 10*10^12 tokens [speculatively] = 7.74e+23 FLOP",Mistral Small (Dec '23),https://conceptualreasoning.ai/dtbench,
mistral-small-2409,0.4953,15.8889,8.434,0.5798,2024-09-17,Mistral AI,France,,,Mistral Small (Sep '24),https://conceptualreasoning.ai/dtbench,
Mistral-Nemo-Instruct-2407,0.48610000000000003,14.3481,8.431,0.5449,2024-07-18,Mistral AI,France,,,Mistral NeMo,https://conceptualreasoning.ai/dtbench,
Llama-3.1-8B-Instruct,0.5093,18.2167,8.4278,0.4861,2024-07-23,Meta AI,United States of America,1.224e+24,"Huggingface page says 3.1-8B used 1.46M H100 hours and trained over 15T tokens. https://huggingface.co/meta-llama/Llama-3.1-70B
The paper also says that 3.1-405B got MFU of between 38-43%; presumably 8B was around the same or a bit higher. I'll assume utilization of 40%

6ND:
6 * 15T * 8B = 7.2e23 FLOPs

Hardware:
1.46M * 9.9e14 * 3600 * 0.4 = 2.08e24 FLOPs

Geometric mean: sqrt(7.2e23 * 2.08e24) = 1.224e24

Note that Llama 3-8B also said it used 15T tokens, but only 1.3M H100 hours. This suggests 3.1 might have used a bit more than 15T tokens.",Llama 3.1 8B,https://conceptualreasoning.ai/dtbench,
gemma-3-12b-it,0.488,14.6667,8.4278,0.64,2025-03-12,Google DeepMind,United States of America,8.64e+23,6ND = 6 * 12B parameters * 12T training tokens = 8.64 × 10^23 FLOP,Gemma 3 12B,https://conceptualreasoning.ai/dtbench,
gpt-3.5-turbo-0125,0.4853,14.2167,8.4278,0.589,2024-01-25,OpenAI,United States of America,,,GPT-3.5 Turbo,https://conceptualreasoning.ai/dtbench,
gpt-4.1-nano-2025-04-14,0.5253,20.8833,8.4278,0.5574,2025-04-14,OpenAI,United States of America,,,GPT-4.1 nano,https://conceptualreasoning.ai/dtbench,
qwen2.5-7b-instruct,0.4773,12.8833,8.4278,0.5102,2024-09-19,Alibaba,China,8.2188e+23,"Training dataset size was 18 trillion

6ND = 6 * 7.61 billion parameters * 18 trillion tokens = 8.2188e+23",Qwen2.5 7B,https://conceptualreasoning.ai/dtbench,
claude-3-haiku-20240307,0.5013000000000001,16.8833,8.4605,0.5487,2024-03-07,Anthropic,United States of America,,,Claude 3 Haiku,https://conceptualreasoning.ai/dtbench,
c4ai-command-r-plus-08-2024,0.5493,24.8833,8.3952,0.5139,2024-08-30,"Cohere,Cohere Labs (formerly Cohere for AI)",Canada,,,Command R+ (Aug '24),https://conceptualreasoning.ai/dtbench,
c4ai-command-r-08-2024,0.46399999999999997,10.6667,8.4278,0.5676,2024-08-30,,,,,Command R (Aug '24),https://conceptualreasoning.ai/dtbench,
ministral-3b-2410,0.5173,19.55,8.4278,0.5706,2024-10-16,Mistral AI,France,,,Ministral 3B,https://conceptualreasoning.ai/dtbench,
gemma-3-4b-it,0.5093,18.2167,8.4278,0.5493,2025-03-12,Google DeepMind,United States of America,9.6e+22,6ND = 6 * 4B parameters * 4T training tokens = 9.6 × 10^22 FLOP,Gemma 3 4B,https://conceptualreasoning.ai/dtbench,
gemini-1.0-pro-001,0.4586,9.7741,8.4055,0.5736,2023-12-13,Google DeepMind,United States of America,,"Training compute estimated to be 1.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing 

Our reasoning and calculations for Gemini 1 Ultra are detailed in this Colab notebook.
https://colab.research.google.com/drive/1sfG91UfiYpEYnj_xB5YRy07T5dv-9O_c

",Gemini 1.0 Pro,https://conceptualreasoning.ai/dtbench,
claude-instant-1.2,0.45780000000000004,9.6297,8.4042,0.5952,2023-08-09,Anthropic,United States of America,,,Claude Instant 1.2,https://conceptualreasoning.ai/dtbench,
ministral-8b-2410,0.4569,9.4815,8.403,0.4777,2024-10-16,Mistral AI,France,,,Ministral 8B (Oct '24),https://conceptualreasoning.ai/dtbench,
gemma-2-27b,0.48,13.3333,8.4278,0.5634,,Google DeepMind,United States of America,2.106e+24,"""For the 27B model, we train on an 8x24x32 configuration of
TPUv5p, totaling 6144 chips""

trained on 13T tokens

6ND = 6*27000000000*13000000000000=2.106e+24",Gemma 2 27B,https://conceptualreasoning.ai/dtbench,
Meta-Llama-3-8B-Instruct,0.4393,6.5556,7.4638,0.5405,2024-04-18,Meta AI,United States of America,7.2e+23,"Counting operations
15000000000000 tokens*8000000000.00 parameters*6 FLOP / token / parameter = 7.2×10^23 FLOP

GPU calculation
400 TFLOPS per GPU * 1.3M GPU hours * 3600s=1.872×10^24 
(it is not confident that 400 TFLOPs applies to the Llama 3-8B training run)",Llama 3 8B,https://conceptualreasoning.ai/dtbench,
open-mistral-7b,0.4254,4.2339,6.3037,0.4549,2023-09-27,Mistral AI,France,,,Mistral Tiny,https://conceptualreasoning.ai/dtbench,
Llama-2-13b-chat,0.42240000000000005,3.7333,6.0328,0.433,2023-07-18,Meta AI,United States of America,1.6e+23,13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP,Llama 2 13B,https://conceptualreasoning.ai/dtbench,
Llama-2-70b-chat,0.4165,2.7556,5.5358,0.5095,2023-07-18,Meta AI,United States of America,8.1e+23,"""Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB"" of which 1720320 GPU hours were used to train the 70B model.

311.84 BF16 TFLOP/s * 1720320 hours * 0.40 utilization = 7.725e+23 FLOP.

Alternatively: the model was trained for 1 epoch on 2 trillion tokens and has 70B parameters. C = 6ND = 6*70B*2T = 8.4e+23 FLOP.",Llama 2 70B,https://conceptualreasoning.ai/dtbench,
