Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Source,Source link,Notes,id
,0.3927,,,,,,OpenFlamingo,,ScienceQA leaderboard,https://scienceqa.github.io/leaderboard.html,,recGdUJxthS9RJmp0
,0.3828,,,,,,Lynx,,ScienceQA leaderboard,https://scienceqa.github.io/leaderboard.html,,rec7yI2ICo58RPYPB
,0.3793,,,,,,mPLUG-Owl,,ScienceQA leaderboard,https://scienceqa.github.io/leaderboard.html,,recgsYCmwiGedIncx
,0.3629,,,,,,MultiGPT,,ScienceQA leaderboard,https://scienceqa.github.io/leaderboard.html,,recH0YEkxqbbhujEB
LLaMA-7B,0.3619,2023-02-24,Meta AI,United States of America,4.00000001e+22,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOP
",LLaMA1-7B,,ScienceQA leaderboard,https://scienceqa.github.io/leaderboard.html,,recOWTFKlhYYIQazU
,0.3451,,,,,,Fromage,,ScienceQA leaderboard,https://scienceqa.github.io/leaderboard.html,,recGqSoocZkzpDpzg
Phi-3.5-vision-instruct,0.913,2024-08-16,,,,,Phi-3.5-Vision 4.2b    ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,rec0npY7rc711egAe
MM1-3B-Chat,0.694,2024-03-14,,,,,MM1-3B-Chat 3.6b       ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recFXgM2b1MxXJ0GW
MM1-7B-Chat,0.726,2024-03-14,,,,,MM1-7B-Chat 7.6b       ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recOtCxq6HmvnIucp
llava-v1.6-vicuna-7b,0.706,2024-01-31,,,,,LLaVA-1.6 Vicuna-7b    ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recUUhaZd0PNJBznr
llama3-llava-next-8b,0.737,2024-04-20,,,,,LLaVA-Next Llama3-8b   ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,rec4WiZfQpgoA4nv2
Qwen-VL-Chat,0.672,2023-08-20,,,,,Qwen-VL-Chat 9.6b      ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recxtuT8rYMP8wp87
claude-3-haiku-20240307,0.72,2024-03-07,Anthropic,United States of America,,,Claude 3 haiku         ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,reccDSd3p2ZJ5XIgq
gemini-1.0-pro-vision,0.797,2024-01-04,Google DeepMind,United States of America,,"To the extent that we believe Gemini 1 Pro was below 1e25 FLOP, Gemini 1 Pro Vision is unlikely to exceed it.",Gemini 1.0 Pro V       ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recSwZQTEaQUGeWS6
gpt-4o-2024-05-13,0.885,2024-05-13,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,GPT-4O 2024-05-13      ,,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,rec0F1EWXSFmyhqsG
falcon-11B-vlm,0.749,2024-05-21,,,,,Falcon2-11B VLM,,Falcon2-11B Technical Report,http://arxiv.org/abs/2407.14885,,rec6Px3f23pIK410C
llava-v1.6-vicuna-7b,0.701,2024-01-31,,,,,LLaVA1.6-Vicuna-7B,,Falcon2-11B Technical Report,http://arxiv.org/abs/2407.14885,,recLQWTFD7gZEc4Pd
llava-v1.6-vicuna-13b,0.736,2024-01-31,,,,,LLaVA1.6-Vicuna-13B,,Falcon2-11B Technical Report,http://arxiv.org/abs/2407.14885,,recMzgZXL1CtfmhvN
llava-v1.6-mistral-7b,0.728,2024-01-31,,,,,LLaVA1.6-Mistral-7B,,Falcon2-11B Technical Report,http://arxiv.org/abs/2407.14885,,recHkwW8HkY5EvWuw
instructblip-vicuna-7b,0.605,2023-05-22,,,,,InstructBLIP-7B (Vicuna),,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,recrqpiBC2wq4jXQS
instructblip-vicuna-13b,0.631,2023-12-25,,,,,InstructBLIP-13B (Vicuna),,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,recfjqnJ0LLGYRCzA
Qwen-VL-Chat,0.682,2023-08-20,,,,,Qwen-VL-Chat,,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,recvidEkZ2TJ7PLNe
InternVL-Chat-ViT-6B-Vicuna-7B,0.662,2023-12-25,,,,,InternVL-7B,,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,recwNwS3zW5ZnI8my
InternVL-Chat-ViT-6B-Vicuna-13B,0.701,2024-08-16,,,,,InternVL-13B,,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,recLjjaIU4o6tkfTL
llava-v1.5-7b,0.668,2023-10-05,,,,,LLaVA-1.5-7B,,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,rec0ww4tyLYeEjUZ3
,0.701,,,,,,LLaVA-NeXT-7B,,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,rec7TPNXwoHgJh2mt
,0.736,,,,,,LLaVA-NeXT-13B,,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,recwjcp8zqAA4oe7V
,0.944,,,,,,VisionLLM v2-Chat,,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,recoLkEWa8RivHrne
,0.942,,,,,,VisionLLM v2,,VisionLLM v2: An End-to-End Generalist Multimodal Large Language Model for Hundreds of Vision-Language Tasks,https://proceedings.neurips.cc/paper_files/paper/2024/file/81a60d18e010b27b36cd465c6604b915-Paper-Conference.pdf,,recJASlfaEdfdwMre
