Model version,Main score,Harness,Reasoning effort,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Aggregation,Source,Notes
grok-4.5_unknown,0.4244,grok-build,high,2026-07-08,xAI,United States of America,,,Grok 4.5,Mean@5,https://cognition.com/frontiercode,
,0.4233,devin,none,,,,,,SWE-1.7,Mean@5,https://cognition.com/frontiercode,
swe-1.7,0.41990000000000005,chisel,none,2026-07-08,Cognition,United States of America,,,SWE-1.7,Mean@5,https://cognition.com/frontiercode,
gpt-5.6-terra_unknown,0.4131,codex,max,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra,Mean@5,https://cognition.com/frontiercode,
gpt-5.6-luna_unknown,0.3981,codex,max,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna,Mean@5,https://cognition.com/frontiercode,
claude-opus-4-7_unknown,0.3854,claude-code,max,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7,Mean@5,https://cognition.com/frontiercode,
gemini-3.6-flash_unknown,0.3437,chisel,medium,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash,Mean@5,https://cognition.com/frontiercode,
kimi-k2.7-code,0.3006,mini-swe-agent,none,2026-06-12,Moonshot,China,,,Kimi K2.7,Mean@5,https://cognition.com/frontiercode,
gpt-5.4-mini-2026-03-17_unknown,0.2704,codex,xhigh,2026-03-17,OpenAI,United States of America,,,GPT-5.4-mini,Mean@5,https://cognition.com/frontiercode,
claude-opus-4-6_unknown,0.2664,claude-code,high,2026-02-05,Anthropic,United States of America,,,Claude Opus 4.6,Mean@5,https://cognition.com/frontiercode,
Composer 2.5,0.2564,cursor-cli,none,2026-05-18,Cursor,United States of America,3.87e+25,"Said by Cursor that 85% of the total compute was performed by their team (from figure following ""Composer 2.5 is built on the same open-source checkpoint as Composer 2, Moonshot's Kimi K2.5."" here https://cursor.com/blog/composer-2-5) - 5.8e24 / 0.15 = 3.8666666667E25 FLOP",Composer 2.5,Mean@5,https://cognition.com/frontiercode,
,0.256,cursor-cli,none,,,,,,Composer 2.5,Mean@5,https://cognition.com/frontiercode,
glm-5.2_none,0.245,mini-swe-agent,none,2026-06-16,Z.ai (Zhipu AI),China,,,GLM 5.2,Mean@5,https://cognition.com/frontiercode,
claude-sonnet-4-6_unknown,0.24310000000000004,claude-code,max,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6,Mean@5,https://cognition.com/frontiercode,
deepseek-v4-flash-0731_unknown,0.188,chisel,high,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",DeepSeek V4 Flash 0731,Mean@5,https://cognition.com/frontiercode,
deepseek-v4-pro_none,0.1764,mini-swe-agent,none,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,DeepSeek V4 Pro,Mean@5,https://cognition.com/frontiercode,
MiniMax-M3,0.147,mini-swe-agent,none,2026-06-01,MiniMax,China,,,MiniMax M3,Mean@5,https://cognition.com/frontiercode,
,0.14,mini-swe-agent,0.99,,,,,,Inkling,Mean@5,https://cognition.com/frontiercode,
Inkling,0.14,mini-swe-agent,0.99,2026-07-15,Thinking Machines,United States of America,1.845e+24,6ND = 41e9 active parameters * 45e12 tokens = 1.845e+24 FLOP,Inkling,Mean@5,https://cognition.com/frontiercode,
,0.102,mini-swe-agent,none,,,,,,Qwen 3.7 Plus,Mean@5,https://cognition.com/frontiercode,
qwen3.7-plus,0.102,mini-swe-agent,none,2026-06-02,Alibaba,China,,,Qwen 3.7 Plus,Mean@5,https://cognition.com/frontiercode,
,0.094,devin,none,,,,,,SWE-1.6,Mean@5,https://cognition.com/frontiercode,
swe-1.6,0.09390000000000001,chisel,none,2026-04-07,Cognition,United States of America,,,SWE-1.6,Mean@5,https://cognition.com/frontiercode,
mistral-medium-2604,0.08,chisel,none,2026-04-28,Mistral AI,France,,"Commentary from Mistral researcher - https://x.com/mertunsal2020/status/2049551864556143094?s=20 - says ""nowhere close to those flops"" in response to someone suggesting 2.3e25FLOPS was used",Mistral 3.5 Medium,Mean@5,https://cognition.com/frontiercode,
