Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Cost per task,Source,Source link,Notes,id
kimi-k3_max,0.9450000000000001,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3 (Max),0.7704815999999995,https://arcprize.org/leaderboard,,,recSadJjXBVay9MJG
gpt-5.4-pro-2026-03-05_xhigh,0.9450000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 Pro (XHigh),,https://arcprize.org/leaderboard,,,recXEd6tFFq0OodXL
claude-fable-5-1_medium,0.9450000000000001,2026-09-01,Anthropic,United States of America,,,Claude Fable 5.1 (Medium),,https://arcprize.org/leaderboard,,,rec3AzR8j5g4enMwx
gpt-5.6-terra_xhigh,0.9400000000000001,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (xHigh),0.26,https://arcprize.org/leaderboard,,,recZAbgf19TPU7sN1
claude-opus-4-6_120K,0.9400000000000001,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, High)",,https://arcprize.org/leaderboard,,,recazrzN9UYUSV1iu
gpt-5.6-terra_xhigh,0.9400000000000001,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (XHigh),,https://arcprize.org/leaderboard,,,recUgeEiFE9fXQL3Z
claude-opus-4-6_120K,0.94,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (High, 120k thinking)",,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recZTnD93GgPevLI2
gpt-5.4-2026-03-05_xhigh,0.9367000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (xHigh),0.62,,,,recYZZpkF3X0HOhG6
gpt-5.4-2026-03-05_xhigh,0.9367000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (XHigh),,https://arcprize.org/leaderboard,,,recWiLBMjYySlXFw8
claude-opus-4-7_high,0.935,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (High),1.41,,,,recsAZge7JFpmZUCV
claude-opus-4-7_high,0.935,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (High),,https://arcprize.org/leaderboard,,,recGPGem5qYI7gRl4
claude-opus-4-6_120K,0.93,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Max)",,https://arcprize.org/leaderboard,,,recM43lOIaRtUf1mn
gpt-5.4-2026-03-05_high,0.9267000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (High),0.37,,,,recggD3Y6D88kSVaH
gemini-3.5-flash_high,0.925,2026-05-19,Google DeepMind,United States of America,,,Gemini 3.5 Flash (High),0.4278,https://arcprize.org/leaderboard,,,recVnYyaVQjDvDtup
claude-opus-4-8_max,0.925,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Max),2.332,https://arcprize.org/leaderboard,,,recX5Vpu2SxT2jvtJ
gpt-5.6-sol_medium,0.925,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Medium),0.22,https://arcprize.org/leaderboard,,,recBnEMNkjbANkBPV
claude-fable-5_medium,0.925,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 (Medium),,https://arcprize.org/leaderboard,,,recnnva4EmGtevmRJ
gpt-5.5_medium,0.9217000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (Medium),0.39,https://arcprize.org/leaderboard,,,rec3T7XZVcuk74DEh
claude-opus-4-7_max,0.92,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (Max),2.58,,,,recBvnwhpAjJYVBYf
claude-opus-4-8_high,0.92,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (High),1.0416,https://arcprize.org/leaderboard,,,recYbC1GbUCLyPSIp
gpt-5.6-terra_high,0.92,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (High),0.19,https://arcprize.org/leaderboard,,,recgED1Md3qIP7P7j
claude-opus-4-6_120K,0.92,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Medium)",,https://arcprize.org/leaderboard,,,recoN4YV9cS1BcESr
claude-opus-4-7_max,0.92,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Max),,https://arcprize.org/leaderboard,,,rec0Zi0OrdC9mEo7f
claude-opus-4-8_medium,0.915,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Medium),0.9115,https://arcprize.org/leaderboard,,,recOGBDeWlb8DCkFv
gemini-3.6-flash_high,0.9116666666666666,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash (High),,https://arcprize.org/leaderboard,,,recwFpri94sXuU76A
gemini-3.7-flash_medium,0.9116666666666666,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash (Medium),,https://arcprize.org/leaderboard,,,recfGdSHF9DQEv10q
claude-opus-4-7_low,0.91,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Low),0.76,https://arcprize.org/leaderboard,,,recQXzhqc6WDcJWp6
claude-opus-4-7_medium,0.91,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Medium),1.04,https://arcprize.org/leaderboard,,,recBBFNgJ4AHLvHWQ
gpt-5.2-pro-2025-12-11_xhigh,0.905,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (X-High),11.6542,,,,recT4SRr3jv5zIy1J
gpt-5.2-pro-2025-12-11_xhigh,0.905,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (xHigh),,https://arcprize.org/leaderboard,,,recKxtWWM4vXnlEV3
gpt-5.2-pro-2025-12-11_xhigh,0.905,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (XHigh),,https://arcprize.org/leaderboard,,,recgKflccwPhpkeuw
claude-fable-5_low,0.905,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 (Low),,https://arcprize.org/leaderboard,,,recicAFlVclfoLIh1
deepseek-v4-pro-0813_low,0.905,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,DeepSeek V4 Pro 0813 (Low),,https://arcprize.org/leaderboard,,,rec0JM4Fs9lGdZZjO
deepseek-v4-pro-0813_max,0.9,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,DeepSeek V4 Pro 0813 (Max),,https://arcprize.org/leaderboard,,,reci9sB7ercpQZT3r
claude-fable-5-1_low,0.9,2026-09-01,Anthropic,United States of America,,,Claude Fable 5.1 (Low),,https://arcprize.org/leaderboard,,,rec3yIZZxWevjB7wc
grok-4-20,0.895,2026-02-17,xAI,United States of America,,,Grok 4.20 (Reasoning),0.35,https://arcprize.org/leaderboard,,,rec1UyvWkk0dqISpu
deepseek-v4-flash-0731_max,0.89,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",DeepSeek V4 Flash 0731 (Max),,https://arcprize.org/leaderboard,,,rece26MXZZVoiMLqB
claude-opus-4-8_low,0.88,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Low),0.6711,https://arcprize.org/leaderboard,,,rec3CNglZ0AQBUIRC
gpt-5.6-luna_max,0.88,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Max),0.32,https://arcprize.org/leaderboard,,,recYjOYezFdRMvEGW
gpt-5.6-luna_xhigh,0.8767,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (xHigh),0.21,https://arcprize.org/leaderboard,,,recN52OtrmxlFYCZs
gpt-5.6-luna_xhigh,0.8767,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (XHigh),,https://arcprize.org/leaderboard,,,recqLDFFeV5jU45oY
gemini-3-deep-think-preview,0.875,2026-02-12,,,,,Gemini 3 Deep Think (Preview),77.16,,,,recpC5nib10TXfNiG
gemini-3-deep-think-preview,0.875,2026-02-12,,,,,Gemini 3 Deep Think (Preview) ²,,https://arcprize.org/leaderboard,,,recvkCnt2z3iBicgq
grok-4.6_medium,0.875,2026-08-12,xAI,United States of America,,,Grok 4.6 (Medium),,https://arcprize.org/leaderboard,,,recIu38h0FzayjCH9
grok-4.5_medium,0.8717,2026-07-08,xAI,United States of America,,,Grok 4.5 (Medium),0.31,https://arcprize.org/leaderboard,,,recaxlUnEyQPIo6dH
deepseek-v4-pro-0813_high,0.8716666666666666,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,DeepSeek V4 Pro 0813 (High),,https://arcprize.org/leaderboard,,,rechTprNycUD7yIEb
deepseek-v4-flash-0731_high,0.87,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",DeepSeek V4 Flash 0731 (High),,https://arcprize.org/leaderboard,,,rec3H90U0FFYQCSXb
grok-4.6_xhigh,0.87,2026-08-12,xAI,United States of America,,,Grok 4.6 (XHigh),,https://arcprize.org/leaderboard,,,recs712JyZ2vRzQvO
grok-4.6_high,0.87,2026-08-12,xAI,United States of America,,,Grok 4.6 (High),,https://arcprize.org/leaderboard,,,recwvQT7NkltiBYPm
kimi-k3_high,0.8666666666666666,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3 (High),0.47977101000000005,https://arcprize.org/leaderboard,,,recqGzK15OabAHffc
claude-sonnet-4-6_high,0.865,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (High),1.1908,,,,recVQARdNCk8I5YS2
gpt-5.2-2025-12-11_xhigh,0.862,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (X-High),0.96,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recgxHD7jV9nk6VyZ
gpt-5.4-2026-03-05_medium,0.8617,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (Medium),0.25,,,,recJZdb4rBpTeaaTI
gpt-5.2-2025-12-11_xhigh,0.8617,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (xHigh),,https://arcprize.org/leaderboard,,,recKpS4EjVfqnm3Ow
gpt-5.2-2025-12-11_xhigh,0.8617,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (XHigh),,https://arcprize.org/leaderboard,,,recoRUIJo45xau1mW
claude-sonnet-4-6_max,0.86,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (Max),1.452,,,,recsU65UVdKsRlUJk
claude-opus-4-6_120K,0.86,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Low)",,https://arcprize.org/leaderboard,,,recAgfLcp2ceTsir9
gpt-5.2-pro-2025-12-11_high,0.8567,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (High),5.8694,,,,recKYn0z5TIlRsr82
grok-4.5_high,0.8567,2026-07-08,xAI,United States of America,,,Grok 4.5 (High),0.33,https://arcprize.org/leaderboard,,,recmSEXUPS7bh0iUI
gemini-3.7-flash_low,0.8516666666666666,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash (Low),,https://arcprize.org/leaderboard,,,recIL73XKtvNVD7Om
gemini-3-flash-preview,0.8467,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash Preview (High),0.1743,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recc51QLAwOR4KjmP
inkling-small_xhigh,0.84,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (XHigh),,https://arcprize.org/leaderboard,,,rec19KlLfCM7UpqBJ
deepseek-v4-flash-0731_low,0.84,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",DeepSeek V4 Flash 0731 (Low),,https://arcprize.org/leaderboard,,,recgsyaqI99Ziz4t5
gemini-3.6-flash_medium,0.8316666666666666,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash (Medium),,https://arcprize.org/leaderboard,,,reczMZaXZ861qN6Hg
gpt-5.2-pro-2025-12-11_medium,0.8117000000000001,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (Medium),3.9774,,,,recAdSbvORoPGa4Qi
claude-opus-4-5-20251101_64K,0.8,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4.5 (64k thinking),1.47,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recXBzrtTETaQuvxw
claude-opus-4-5-20251101_64K,0.8,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 64K)",,https://arcprize.org/leaderboard,,,recDG3Rbrpu9Cjze2
Inkling,0.795,2026-07-15,Thinking Machines,United States of America,1.845e+24,6ND = 41e9 active parameters * 45e12 tokens = 1.845e+24 FLOP,Inkling,0.30047416199999993,https://arcprize.org/leaderboard,,,recMea5hfj7XIOzYH
grok-4.5_low,0.7917000000000001,2026-07-08,xAI,United States of America,,,Grok 4.5 (Low),0.18,https://arcprize.org/leaderboard,,,recTjmRwwXkhXuf3X
gpt-5.2-2025-12-11_high,0.7867000000000001,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (High),0.5196,https://arcprize.org/leaderboard,https://arcprize.org/leaderboard,,recG0lrSvCvamnnBm
inkling-small_high,0.78,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (High),,https://arcprize.org/leaderboard,,,recgRmEW1KZcdGKZm
glm-5.2_unknown,0.77,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2,0.1916,https://arcprize.org/leaderboard,,,rec783bNfpoKvxStC
gpt-5.6-terra_medium,0.77,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Medium),0.13,https://arcprize.org/leaderboard,,,rec2gOLjWGIo3EDZc
gpt-5.6-luna_high,0.765,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (High),0.13,https://arcprize.org/leaderboard,,,recZ2UaRzTx3PmoSP
gemini-3.6-flash_low,0.765,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash (Low),,https://arcprize.org/leaderboard,,,recC6P2Ozh3zZKLqc
gpt-5.5_low,0.7617,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (Low),0.2,https://arcprize.org/leaderboard,,,rec7WJ0gbABZ60vSH
claude-opus-4-5-20251101_32K,0.7583,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 32K)",,https://arcprize.org/leaderboard,,,recQaSIdYDM01Js2n
claude-opus-4-5-20251101_32K,0.758,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4.5 (32k thinking),0.95,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recn5WFdr0nWTOt7b
,0.757,,,,,,o3-preview (Low)*,,ARC Prize Leaderboard,https://arcprize.org/leaderboard,Excluded since there will never be any other benchmark data for it apart from FrontierMath,recM25loZNyA1teVD
gemini-3-pro-preview,0.75,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,Gemini 3 Pro,0.4926,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recJT3M7RL0TgeABi
grok-4.6_low,0.7483333333333334,2026-08-12,xAI,United States of America,,,Grok 4.6 (Low),,https://arcprize.org/leaderboard,,,recFcvwZPnbu9Wk1z
gpt-5.6-sol_low,0.745,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Low),0.17,https://arcprize.org/leaderboard,,,recFnbBRcRFSkkzd1
gpt-5.1-2025-11-13_high,0.7283,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
","GPT-5.1 (Thinking, High)",,https://arcprize.org/leaderboard,,,recGheKChbMIg5rp8
gpt-5.1-2025-11-13_high,0.728,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",GPT-5.1 (High),0.674,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec8sLsUfujiSrlk4
gpt-5.2-2025-12-11_medium,0.7267,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (Medium),0.3448,,,,recgYU9vtVcXAzyE7
claude-opus-4-5-20251101_16K,0.72,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 16K)",0.62,,,,recPFxyFbtk2zgGrK
gpt-5-pro-2025-10-06_high,0.702,2025-10-07,OpenAI,United States of America,,,GPT-5 Pro,,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec4jlS7emdBeDgkx
gpt-5-pro-2025-10-06_unknown,0.7017,2025-10-07,OpenAI,United States of America,,,GPT-5 Pro,4.7785,,,,recS53Gln4vftmgkx
gpt-5.4-2026-03-05_low,0.6817000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (Low),0.15,,,,recmvkkmWAsDklsPA
inkling-small_medium,0.67,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (Medium),,https://arcprize.org/leaderboard,,,recqGEDOjI6CKQgg0
grok-4-0709,0.6667000000000001,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",Grok 4 (Thinking),2.17,,,,rec2xTKJLWfMMxIvS
gpt-5-2025-08-07_high,0.6567000000000001,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (High),0.5087,https://arcprize.org/leaderboard,https://arcprize.org/leaderboard,,recy0dyn1Ex4jNC4H
kimi-k3_low,0.6566666666666666,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3 (Low),0.18061866,https://arcprize.org/leaderboard,,,rec5cJ247ekdZACxN
kimi-k2.5,0.6533,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi K2.5,0.15,,,,reckd4ffXh86QXwwY
claude-sonnet-4-5-20250929_32K,0.6367,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 32K),0.5193,,,,rec17BpugSGZTB9s8
MiniMax-M2.5,0.6367,2026-02-12,MiniMax,China,,,Minimax M2.5,0.07,,,,receB8OOl8dtDUVr6
gpt-5.4-mini-2026-03-17_xhigh,0.6367,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (xHigh),0.51,https://arcprize.org/leaderboard,,,rec05QEcCMeKiXIgI
gpt-5.4-mini-2026-03-17_xhigh,0.6367,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (XHigh),,https://arcprize.org/leaderboard,,,recg1uxrFjyxqvPTs
o3-2025-04-16_high,0.6083,2025-04-16,OpenAI,United States of America,,,o3 (High),0.5002,https://arcprize.org/leaderboard,https://arcprize.org/leaderboard,,recyX2f3amNA4ZPUQ
gpt-5.6-terra_low,0.6017,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Low),0.09,https://arcprize.org/leaderboard,,,recHsvqtEj8sE4t1S
o3-pro-2025-06-10_high,0.5933,2025-06-10,OpenAI,United States of America,,,o3-Pro (High),4.16,https://arcprize.org/leaderboard,https://arcprize.org/leaderboard,,recgEreMuMqYTWJuX
o4-mini-2025-04-16_high,0.5867,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o4-mini (High),0.4058,https://arcprize.org/leaderboard,https://arcprize.org/leaderboard,,receup1qngSep4blO
claude-opus-4-5-20251101_8K,0.5867,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 8K)",0.38,,,,recnTJS3iYYQ2jc7n
gpt-5.4-mini-2026-03-17_high,0.58,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (High),0.27,https://arcprize.org/leaderboard,,,recQuMohacriH1ZXn
