Model version,Agent,Accuracy mean,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Accuracy SE,Agent Org,Model Org,Run date,Notes,Source,Source Link,Created,Name,id
gpt-5.3-codex,Simple Codex,0.751,2026-02-05,OpenAI,United States of America,,,0.024,OpenAI,OpenAI,2026-02-06,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-02-06T19:39:45.000Z,GPT-5.3-Codex,recQGdQu18B2G90mW
gemini-3.1-pro-preview,Terminus-KIRA,0.748,2026-02-19,Google DeepMind,United States of America,,,0.026000000000000002,KRAFTON AI,Google,2026-02-23,,,,2026-03-06T20:45:21.000Z,Gemini 3.1 Pro,recwQlLxqWmKqLyki
claude-opus-4-6_unknown,Terminus-KIRA,0.747,2026-02-05,Anthropic,United States of America,,,0.026000000000000002,KRAFTON AI,Anthropic,2026-02-22,,,,2026-03-06T20:45:22.000Z,Claude Opus 4.6,reccEEVJ98pyKkKic
gpt-5.3-codex,Mux,0.746,2026-02-05,OpenAI,United States of America,,,0.025,Coder,OpenAI,2026-03-06,,,,2026-03-06T20:46:16.000Z,GPT-5.3-Codex,recG4Not08o5icKST
claude-opus-4-6_unknown,MAYA-V2,0.721,2026-02-05,Anthropic,United States of America,,,0.022000000000000002,ADYA,Anthropic,2026-03-12,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-04T15:52:02.000Z,Claude 4.6 Opus,recbCEp3NVGK1vNTl
claude-opus-4-6_unknown,TongAgents,0.7190000000000001,2026-02-05,Anthropic,United States of America,,,0.027000000000000003,Bigai,Anthropic,2026-02-22,,,,2026-03-06T20:46:47.000Z,Claude Opus 4.6,recsbGWmj9mRLEypD
gpt-5.3-codex,spoox-o-m,0.715,2026-02-05,OpenAI,United States of America,,,0.025,TUM,OpenAI,2026-05-15,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:50.000Z,GPT-5.3-Codex,recE1erZH43qiwt01
gpt-5.3-codex,CodeBrain-1,0.703,2026-02-05,OpenAI,United States of America,,,0.026000000000000002,Feeling AI,OpenAI,2026-02-10,,,,2026-03-06T20:47:34.000Z,GPT-5.3-Codex,reckRlNCDoPJqQ51J
claude-opus-4-6_unknown,Droid,0.6990000000000001,2026-02-05,Anthropic,United States of America,,,0.025,Factory,Anthropic,2026-02-05,,,,2026-03-06T20:47:35.000Z,Claude Opus 4.6,recm47gxTJYtnhFi9
claude-opus-4-6,Droid,0.699,2026-02-05,Anthropic,United States of America,,,0.025,Factory,Anthropic,2026-02-05,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-02-06T19:35:49.000Z,,recZd8as5p49jd05r
gemini-3-pro-preview,Ante,0.6940000000000001,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.021,Antigma Labs,Google,2026-01-06,,,,2026-03-06T20:47:35.000Z,Gemini 3 Pro,recel7iZnjcoDWjFt
gpt-5.3-codex,IndusAGI Coding Agent,0.691,2026-02-05,OpenAI,United States of America,,,0.023,Varun Israni (SoloVpx),OpenAI,2026-03-18,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:41.000Z,GPT-5.3-Codex,rec0sW71nWWpW9Szk
claude-opus-4-6_unknown,Crux,0.669,2026-02-05,Anthropic,United States of America,,,,Roam,Anthropic,2026-02-23,,,,2026-03-06T20:47:36.000Z,Claude Opus 4.6,recAnM8GuIbCLfEhc
claude-opus-4-6_unknown,Mux,0.665,2026-02-05,Anthropic,United States of America,,,0.025,Coder,Anthropic,2026-02-13,,,,2026-03-06T20:47:36.000Z,Claude Opus 4.6,rec3SssCd9VRZn61b
gpt-5.2-codex,Deep Agents,0.665,2025-12-18,OpenAI,United States of America,,,0.031000000000000003,LangChain,OpenAI,2026-02-12,,,,2026-03-06T20:47:36.000Z,GPT-5.2-Codex,recwxCGE7farYLuja
gpt-5.5_unknown,clnkr,0.6609999999999999,2026-04-23,OpenAI,United States of America,,,0.025,clnkr,OpenAI,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:50.000Z,GPT-5.5,recmgPXDch3lXoWZy
gemini-3-pro-preview,SageAgent,0.652,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.021,OpenSage,Google,2026-02-23,,,,2026-03-06T20:47:37.000Z,Gemini 3 Pro,recfAdtO655s2ZUhC
gpt-5.2-2025-12-11_medium,Droid,0.649,2025-12-11,OpenAI,United States of America,,,0.028,Factory,OpenAI,2025-12-24,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-01-06T08:12:25.000Z,,rechjHEUQLlqCTIXc
gpt-5.2-2025-12-11_unknown,Droid,0.649,2025-12-11,OpenAI,United States of America,,,0.027999999999999997,Factory,OpenAI,2025-12-24,,,,2026-03-06T20:47:37.000Z,GPT-5.2,recgRH031sZYfPDqe
gpt-5.3-codex,Terminus 2,0.647,2026-02-05,OpenAI,United States of America,,,0.027000000000000003,Terminal Bench,OpenAI,2026-02-05,,,,2026-03-06T20:47:37.000Z,GPT-5.3-Codex,recAMbJKjZNVkGjpL
gemini-3-flash-preview,Junie CLI,0.643,2025-12-17,Google DeepMind,United States of America,,,0.027999999999999997,JetBrains,Google,2025-12-23,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-01-06T08:13:09.000Z,Gemini 3 Flash,recUBHBNuIOfkcKRX
claude-opus-4-5-20251101,Droid,0.631,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.027,Factory,Anthropic,2025-12-11,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-12-15T17:58:37.000Z,,recuiEXbA7NpkFohL
claude-opus-4-5-20251101_unknown,Droid,0.631,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.027000000000000003,Factory,Anthropic,2025-12-11,,,,2026-03-06T20:47:38.000Z,Claude Opus 4.5,rec6dIIsNVTXVuRDv
gpt-5.2-2025-12-11_medium,Codex CLI,0.629,2025-12-11,OpenAI,United States of America,,,0.03,OpenAI,OpenAI,2025-12-18,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-01-06T08:14:05.000Z,,recumDtosjSEJ2D3d
gpt-5.2-2025-12-11_unknown,Codex CLI,0.629,2025-12-11,OpenAI,United States of America,,,0.03,OpenAI,OpenAI,2025-12-18,,,,2026-03-06T20:47:38.000Z,GPT-5.2,recKka6IlJnGPWGok
claude-opus-4-6_unknown,Terminus 2,0.629,2026-02-05,Anthropic,United States of America,,,0.027000000000000003,Terminal Bench,Anthropic,2026-02-06,,,,2026-03-06T20:47:38.000Z,Claude Opus 4.6,recX6PzRl9e6dU4jS
gemini-3-pro-preview,CodeBrain-1,0.622,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.026000000000000002,Feeling AI,Google,2026-02-05,,,,2026-03-06T20:47:38.000Z,Gemini 3 Pro,reczLTVTgCc3wuoOJ
gemini-3-pro-preview,CodeBrain-1.5,0.622,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.026000000000000002,Feeling AI,Google,2026-02-05,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:50.000Z,Gemini 3 Pro,recc4ldyhTauum9Fy
gemini-3-pro-preview,II-Agent,0.618,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.027999999999999997,Intelligent Internet,Google,2025-12-23,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-01-06T08:14:47.000Z,Gemini 3 Pro,rectX4lsyYs6OmUsy
gpt-5.1-codex-mini,hookele,0.616,2025-11-12,OpenAI,United States of America,,,0.019,Dmitry Barakhov,OpenAI,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:51.000Z,GPT-5.1-Codex-Mini,recPGQsdEihz8Ckv3
,Warp,0.612,,,,,,0.03,Warp,Multiple,2025-12-12,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-12-15T18:01:01.000Z,,recfdpeJOkmpBb3Fx
gemini-3-pro-preview,Droid,0.611,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.027999999999999997,Factory,Google,2025-12-24,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-01-06T08:15:23.000Z,Gemini 3 Pro,recNP2GjuvuiMcEyv
gpt-5.2-2025-12-11_unknown,Mux,0.6070000000000001,2025-12-11,OpenAI,United States of America,,,,Coder,OpenAI,2026-01-17,,,,2026-03-06T20:47:39.000Z,GPT-5.2,recpYruU4E3J5eQwz
gpt-5.1-codex-max,Codex CLI,0.604,2025-11-19,OpenAI,United States of America,,,0.027000000000000003,OpenAI,OpenAI,2025-11-24,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-12-15T18:02:58.000Z,GPT-5.1-Codex-Max,recaaVycAGesmFJ32
gemini-3.1-pro-preview,Gemini CLI,0.594,2026-02-19,Google DeepMind,United States of America,,,0.042,Google,Google,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:51.000Z,Gemini 3.1 Pro,rechRUph4VPi4BkPa
claude-opus-4-5-20251101_unknown,Letta Code,0.5910000000000001,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.024,Letta,Anthropic,2025-12-17,,,,2026-03-06T20:47:39.000Z,Claude Opus 4.5,recpSQWuI4flKPHHO
claude-opus-4-5-20251101_128K,Letta Code,0.591,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.024,Letta,Anthropic,2025-12-17,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-25T18:37:51.000Z,,reciL106EieXnavcX
claude-opus-4-5-20251101_unknown,Mux,0.584,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,Coder,Anthropic,2026-01-17,,,,2026-03-06T20:47:39.000Z,Claude Opus 4.5,recJewQ720QCUWUI0
claude-opus-4-6_unknown,Claude Code,0.58,2026-02-05,Anthropic,United States of America,,,0.028999999999999998,Anthropic,Anthropic,2026-02-07,,,,2026-03-06T20:47:40.000Z,Claude Opus 4.6,recsCMkghG4mKBFQJ
gpt-5.1-codex,Codex CLI,0.578,2025-11-12,OpenAI,United States of America,,,0.029, OpenAI      , OpenAI      ,2025-11-16,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:10:29.000Z,,recninlGInIspn658
gpt-5.1-codex,Crux,0.578,2025-11-12,OpenAI,United States of America,,,0.028999999999999998,Roam,OpenAI,2025-11-16,,,,2026-03-06T20:47:40.000Z,GPT-5.1-Codex,recMan57K3dKSqHWB
claude-opus-4-5-20251101_unknown,Terminus 2,0.578,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.025,Terminal Bench,Anthropic,2025-11-22,,,,2026-03-06T20:47:40.000Z,Claude Opus 4.5,recculHGd5t2GvQt9
grok-4-20,grok-cli,0.573,2026-02-17,xAI,United States of America,,,,Vibe Kit,xAI,2026-04-02,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-04T15:52:02.000Z,Grok 4.20 Reasoning,recauvZ8Z2shdiV8Y
grok-4-20,Grok CLI,0.573,2026-02-17,xAI,United States of America,,,,Superagent,xAI,2026-04-02,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:51.000Z,Grok 4.20 Reasoning,recWSbNb07JV8aOj5
gemini-3-pro-preview,Terminus 2,0.569,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.025,Terminal-Bench,Google,2025-11-21,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:19:25.000Z,Gemini 3 Pro,rec4G1Mf13x9ynwlw
gemini-3-pro-preview,Letta Code,0.56,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.03,Letta,Google,2025-12-17,,,,2026-03-06T20:47:41.000Z,Gemini 3 Pro,rec3LvdlngMWgVNX7
claude-opus-4-5-20251101_unknown,Goose,0.543,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.026000000000000002,Block,Anthropic,2025-12-11,,,,2026-03-06T20:47:41.000Z,Claude Opus 4.5,recpIcBUBke0D7mNd
gpt-5.2-2025-12-11_unknown,Terminus 2,0.54,2025-12-11,OpenAI,United States of America,,,0.028999999999999998,Terminal Bench,OpenAI,2025-12-12,,,,2026-03-06T20:47:41.000Z,GPT-5.2,recu0QWuZH20pvT2b
gpt-5.1-codex,Letta Code,0.535,2025-11-12,OpenAI,United States of America,,,0.027999999999999997,Letta,OpenAI,2025-12-17,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-01-06T08:25:23.000Z,GPT-5.1-Codex,recdETGOmZWS2iKAe
claude-sonnet-4-6_unknown,Simplai Agent,0.534,2026-02-17,Anthropic,United States of America,,,0.027999999999999997,SimplAI,Anthropic,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:52.000Z,Claude Sonnet 4.6,recDxT0PT7JaamTSf
claude-sonnet-4-6,Simplai Agent,0.534,2026-02-17,Anthropic,United States of America,,,0.027999999999999997,SimplAI,Anthropic,2026-05-14,,,,2026-06-13T04:30:32.000Z,Claude Sonnet 4.6,recLi0k6lS2WZTy3O
glm-5,Terminus 2,0.524,2026-02-11,Z.ai (Zhipu AI),China,6.84e+24,6 * 40B parameters * 28.5e12 tokens = 6.84e24 FLOP estimated,0.026000000000000002,Terminal Bench,Z-AI,2026-02-23,,,,2026-03-06T20:47:41.000Z,GLM 5,recuBaChFTWpnR5jj
claude-opus-4-5-20251101_unknown,Claude Code,0.521,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.025,Anthropic,Anthropic,2025-12-18,,,,2026-03-06T20:47:42.000Z,Claude Opus 4.5,recub09g3exhXqHL0
claude-opus-4-5-20251101_unknown,OpenHands,0.519,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.028999999999999998,OpenHands,Anthropic,2026-01-04,,,,2026-03-06T20:47:42.000Z,Claude Opus 4.5,recA5YQhqDEEEZMYJ
gemini-3-flash-preview,Terminus 2,0.517,2025-12-17,Google DeepMind,United States of America,,,0.031000000000000003,Terminal Bench,Google,2026-01-07,,,,2026-03-06T20:47:42.000Z,Gemini 3 Flash,reclYJoF7jvlAegKw
claude-opus-4-5-20251101_unknown,OpenCode,0.517,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,Anomaly Innovations,Anthropic,2026-01-12,,,,2026-03-06T20:47:43.000Z,Claude Opus 4.5,rec7Aip1YsA0Xpjtk
gemini-3-flash-preview, Gemini CLI     ,0.51,2025-12-17,Google DeepMind,United States of America,,,0.03,Google,Google,2025-12-23,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-01-06T08:23:54.000Z,,recXnaoWnwYiDCTLY
gpt-5-2025-08-07_unknown,Codex CLI,0.49600000000000005,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.028999999999999998,OpenAI,OpenAI,2025-11-04,,,,2026-03-06T20:47:43.000Z,GPT-5,rec9i8Ic0KTT2yBKw
gpt-5-2025-08-07_medium, Codex CLI      ,0.496,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.029, OpenAI    , OpenAI      ,2025-11-04,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec6jIJxArc92pivy
gpt-5.1-2025-11-13_unknown,Terminus 2,0.47600000000000003,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.027999999999999997,Terminal Bench,OpenAI,2025-11-16,,,,2026-03-06T20:47:44.000Z,GPT-5.1,recNG2YeioSnRQkBL
gpt-5.1-2025-11-13_medium,Terminus 2,0.476,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.028,Stanford,OpenAI,2025-11-16,Assuming medium based on GPT-5 being run at medium.,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:10:29.000Z,,rec8JKbUbg1BqQUuc
gpt-5.1-2025-11-13_medium, Terminus 2     ,0.476,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.028, Stanford  , OpenAI      ,2025-11-16,Assuming medium based on GPT-5 being run at medium.,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recTEUNVY8Ta5gHeC
gemini-3-flash-preview,Gemini CLI,0.474,2025-12-17,Google DeepMind,United States of America,,,0.03,Google,Google,2026-03-06,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-03-06T20:47:43.000Z,Gemini 3 Flash,recEx94YIfACLb1n0
claude-sonnet-4-5-20250929_unknown,CAMEL-AI,0.465,2025-09-29,Anthropic,United States of America,,,0.024,CAMEL-AI,Anthropic,2025-12-24,,,,2026-03-06T20:47:44.000Z,Claude Sonnet 4.5,recUr1bsa1LcRX043
MiniMax-M2.7,IndusAGI Coding Agent,0.451,2026-03-18,MiniMax,China,,,,Varun Israni (SoloVpx),Minimax,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:52.000Z,MiniMax M2.7,recVgdB7STmvB8TFK
gpt-5-codex, Codex CLI      ,0.443,2025-09-15,OpenAI,United States of America,,"OpenAI says this is a version of GPT-5. The meaning of this is not completely clear, but likely means a shared base model and a similar/overlapping post-training history. But it is not clear whether 5-codex was produced via additional fine-tuning of a published GPT-5 checkpoint.",0.027, OpenAI    , OpenAI      ,2025-11-04,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec1qBXfk7ZcFVViF
gpt-5-codex,Codex CLI,0.443,2025-09-15,OpenAI,United States of America,,"OpenAI says this is a version of GPT-5. The meaning of this is not completely clear, but likely means a shared base model and a similar/overlapping post-training history. But it is not clear whether 5-codex was produced via additional fine-tuning of a published GPT-5 checkpoint.",0.027000000000000003,OpenAI,OpenAI,2025-11-04,,,,2026-03-06T20:47:44.000Z,GPT-5-Codex,recAFFDfAzTiAM5HO
gpt-5-2025-08-07_medium, OpenHands      ,0.438,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.03, OpenHands , OpenAI      ,2025-11-02,"Medium thinking used in other GPT-5 evaluations, assuming the same here.",Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recimrZ9t1kWdq9df
gpt-5-2025-08-07_unknown,OpenHands,0.438,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.03,OpenHands,OpenAI,2025-11-02,,,,2026-03-06T20:47:44.000Z,GPT-5,recJMDLwtXhVgVmhO
gpt-5-codex, Terminus 2     ,0.434,2025-09-15,OpenAI,United States of America,,"OpenAI says this is a version of GPT-5. The meaning of this is not completely clear, but likely means a shared base model and a similar/overlapping post-training history. But it is not clear whether 5-codex was produced via additional fine-tuning of a published GPT-5 checkpoint.",0.029, Stanford  , OpenAI      ,2025-10-31,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recXSpZpHeeVjiI3u
gpt-5-codex,Terminus 2,0.434,2025-09-15,OpenAI,United States of America,,"OpenAI says this is a version of GPT-5. The meaning of this is not completely clear, but likely means a shared base model and a similar/overlapping post-training history. But it is not clear whether 5-codex was produced via additional fine-tuning of a published GPT-5 checkpoint.",0.028999999999999998,Terminal Bench,OpenAI,2025-10-31,,,,2026-03-06T20:47:45.000Z,GPT-5-Codex,reciHggGNoFXEb71Z
kimi-k2.5,Terminus 2,0.43200000000000005,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",0.028999999999999998,Terminal Bench,Kimi,2026-02-04,,,,2026-03-06T20:47:45.000Z,Kimi K2.5,recwAteBLwH7AXt3F
gpt-5.1-codex-mini,Crux,0.43100000000000005,2025-11-12,OpenAI,United States of America,,,0.03,Roam,OpenAI,2025-11-17,,,,2026-03-06T20:47:45.000Z,GPT-5.1-Codex-Mini,rec9XiiLe8VVBrkm0
claude-sonnet-4-5-20250929_unknown,Goose,0.43100000000000005,2025-09-29,Anthropic,United States of America,,,0.026000000000000002,Block,Anthropic,2025-12-11,,,,2026-03-06T20:47:46.000Z,Claude Sonnet 4.5,recUDNI3Kg8XVDBC8
