model,score,source,benchmark_version_protocol,benchmark_release_date,model_release_date,evaluation_date,result_public_date,source_publication_date,plotting_date_current,plotting_date_reason,retrospective,historical_frontier_eligible,eligibility_reason,temporal_interpretation,protocol_evidence
qwen3-235b-a22b,0.6885699899295065,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-29,2025-06-03,Unknown,Unknown,2025-06-03,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
DeepSeek-R1-0528,0.9663897280966768,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-05-28,2025-05-29,Unknown,Unknown,2025-05-29,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-sonnet-4-20250514,0.8436555891238671,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-05-22,2025-05-22,Unknown,Unknown,2025-05-22,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-opus-4-20250514,0.850453172205438,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-05-22,2025-05-22,Unknown,Unknown,2025-05-22,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-2.5-pro-preview-05-06,0.9590256797583081,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-05-06,2025-05-08,Unknown,Unknown,2025-05-08,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-2.5-pro-preview-03-25,0.9556268882175226,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-03-31,2025-05-07,Unknown,Unknown,2025-05-07,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
mistral-medium-2505,0.8162764350453172,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-05-07,2025-05-07,Unknown,Unknown,2025-05-07,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o4-mini-2025-04-16_high,0.978285498489426,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-16,2025-04-16,Unknown,Unknown,2025-04-16,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o3-2025-04-16_high,0.9777190332326284,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-16,2025-04-16,Unknown,Unknown,2025-04-16,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4.1-mini-2025-04-14,0.8729229607250756,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-14,2025-04-14,Unknown,Unknown,2025-04-14,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4.1-nano-2025-04-14,0.6999622356495468,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-14,2025-04-14,Unknown,Unknown,2025-04-14,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4.1-2025-04-14,0.8300604229607251,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-14,2025-04-14,Unknown,Unknown,2025-04-14,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
grok-3-mini-beta_low,0.9093655589123867,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-09,2025-04-10,Unknown,Unknown,2025-04-10,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
grok-3-mini-beta_high,0.8806646525679759,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-09,2025-04-10,Unknown,Unknown,2025-04-10,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
grok-3-beta,0.8874622356495468,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-09,2025-04-10,Unknown,Unknown,2025-04-10,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-4-Maverick-17B-128E-Instruct-FP8,0.7301737160120846,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-05,2025-04-08,Unknown,Unknown,2025-04-08,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-4-Scout-17B-16E-Instruct,0.6227341389728097,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-04-05,2025-04-08,Unknown,Unknown,2025-04-08,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
qwen-turbo-2024-11-01,0.5623111782477341,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-11-01,2025-04-07,Unknown,Unknown,2025-04-07,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
qwen-plus-2025-01-25,0.6527567975830816,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-01-25,2025-04-07,Unknown,Unknown,2025-04-07,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
qwen-max-2025-01-25,0.6718277945619335,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-01-25,2025-04-01,Unknown,Unknown,2025-04-01,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
DeepSeek-V3-0324,0.75547583081571,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-03-24,2025-04-01,Unknown,Unknown,2025-04-01,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
mistral-small-2503,0.4677114803625378,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-03-17,2025-03-18,Unknown,Unknown,2025-03-18,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-7-sonnet-20250219_64K,0.9116314199395771,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-02-24,2025-03-13,Unknown,Unknown,2025-03-13,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemma-3-27b-it,0.740370090634441,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-03-12,2025-03-13,Unknown,Unknown,2025-03-13,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-5-haiku-20241022,0.46355740181268884,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-10-22,2025-03-12,Unknown,Unknown,2025-03-12,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-7-sonnet-20250219_32K,0.9003021148036254,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-02-24,2025-03-12,Unknown,Unknown,2025-03-12,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
DeepSeek-R1-Distill-Qwen-14B,0.8712235649546828,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-01-20,2025-03-11,Unknown,Unknown,2025-03-11,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
DeepSeek-R1-Distill-Llama-70B,0.8989803625377644,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-01-20,2025-03-10,Unknown,Unknown,2025-03-10,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4.5-preview-2025-02-27,0.7862537764350453,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-02-27,2025-02-28,Unknown,Unknown,2025-02-28,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4-turbo-2024-04-09,0.46733383685800606,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-04-09,2025-02-27,Unknown,Unknown,2025-02-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-7-sonnet-20250219_16K,0.8625377643504532,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-02-24,2025-02-26,Unknown,Unknown,2025-02-26,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
mistral-large-2411,0.5028323262839879,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-11-18,2025-02-25,Unknown,Unknown,2025-02-25,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-7-sonnet-20250219,0.6818353474320241,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-02-24,2025-02-24,Unknown,Unknown,2025-02-24,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
grok-2-1212,0.6351963746223565,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-12-12,2025-02-17,Unknown,Unknown,2025-02-17,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o1-2024-12-17_high,0.947129909365559,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-12-17,2025-02-13,Unknown,Unknown,2025-02-13,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o1-mini-2024-09-12_high,0.8918051359516617,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-09-12,2025-02-13,Unknown,Unknown,2025-02-13,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o3-mini-2025-01-31_high,0.9648791540785498,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-01-31,2025-02-13,Unknown,Unknown,2025-02-13,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-2.0-pro-exp-02-05,0.8345921450151057,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-02-05,2025-02-06,Unknown,Unknown,2025-02-06,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-2.0-flash-001,0.8216578549848943,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-02-05,2025-02-06,Unknown,Unknown,2025-02-06,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4o-2024-11-20,0.49773413897280966,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-11-20,2025-02-05,Unknown,Unknown,2025-02-05,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Phi-3-medium-128k-instruct,0.17560422960725075,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-04-23,2025-01-31,Unknown,Unknown,2025-01-31,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
DeepSeek-R1,0.9305135951661632,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-01-20,2025-01-31,Unknown,Unknown,2025-01-31,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
phi-4,0.6493580060422961,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-12-12,2025-01-31,Unknown,Unknown,2025-01-31,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o3-mini-2025-01-31_medium,0.9516616314199395,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-01-31,2025-01-31,Unknown,Unknown,2025-01-31,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
qwen2.5-32b-instruct,0.5607061933534743,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-09-17,2025-01-30,Unknown,Unknown,2025-01-30,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
mistral-small-2501,0.4481684290030212,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-01-25,2025-01-30,Unknown,Unknown,2025-01-30,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4-0613,0.22970166163141995,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-06-13,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-1.5-flash-001,0.2512273413897281,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-05-23,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-1.5-pro-002,0.7039274924471299,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-09-24,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
